bootstrap_replicate,full_minus_a2c_points,full_score,a2c_pointer_score
392,1.630212096,76.19290815,74.56269605
393,1.824218116,76.07962705,74.25540894
394,2.565026993,76.91129265,74.34626566
395,0.8507192466,75.91077282,75.06005357
396,2.481029025,76.93553856,74.45450954
397,2.667429072,77.12612035,74.45869128
398,2.189342745,77.03656978,74.84722704
399,3.351170259,76.59748833,73.24631807
400,3.279715768,76.21253301,72.93281724
401,2.299061788,76.74837068,74.4493089
402,1.08181559,75.8028387,74.72102311
403,2.087328602,76.36392702,74.27659841
404,1.058740974,76.05745797,74.998717
405,2.614123482,77.11892083,74.50479734
406,1.606509704,77.54615752,75.93964781
407,2.610164694,77.02331647,74.41315178
408,1.486302075,76.47347997,74.9871779
409,2.696509306,77.2124473,74.51593799
410,2.989236223,76.10625079,73.11701457
411,1.685965212,76.67806888,74.99210367
412,2.57907907,76.26601593,73.68693686
413,2.310094402,77.41134344,75.10124904
414,1.219639815,75.43426714,74.21462733
415,2.845790547,77.39756525,74.5517747
416,2.435012823,75.84913748,73.41412466
417,2.436888663,76.19824405,73.76135538
418,2.269500881,76.18567288,73.916172
419,1.878422121,76.48018623,74.60176411
420,1.95535091,75.67114736,73.71579645
421,1.185133864,76.76490284,75.57976897
422,1.237881672,75.51233951,74.27445784
423,2.124161756,77.10862597,74.98446422
424,1.130639383,76.52498845,75.39434906
425,1.390202136,77.17835035,75.78814821
426,2.636173116,77.22482247,74.58864935
427,2.560160017,76.59929271,74.03913269
428,2.32891836,75.85737265,73.52845429
429,1.60081619,76.00833318,74.40751699
430,0.8685571549,76.24793238,75.37937522
431,2.788057613,77.08891155,74.30085394
432,0.9999009195,76.09511454,75.09521362
433,2.232908393,76.36948748,74.13657908
434,1.055568543,76.47016568,75.41459713
435,1.646070731,77.13872041,75.49264968
436,2.51434072,77.60320733,75.0888666
437,2.190891557,76.51536194,74.32447039
438,1.824187637,76.4862328,74.66204516
439,1.548070956,77.25986503,75.71179407
440,2.010039251,77.37515112,75.36511187
441,2.166138572,77.20881174,75.04267317
442,2.80369869,76.51236905,73.70867036
443,1.566984081,76.59375154,75.02676746
444,1.829480689,75.88977212,74.06029143
445,2.617847834,76.40832394,73.79047611
446,1.100062293,77.91046994,76.81040765
447,1.842488417,77.42614325,75.58365483
448,1.831175537,77.23063809,75.39946255
449,0.8138879635,76.62256046,75.80867249
450,1.842479453,76.39954261,74.55706316
451,2.435413231,75.61049213,73.1750789
452,2.102084498,77.07222591,74.97014141
453,2.630831968,76.47408156,73.84324959
454,3.18390233,76.84428844,73.66038611
455,1.628275494,77.56112598,75.93285049
456,2.689492635,76.8710473,74.18155466
457,1.502733628,75.66425259,74.16151896
458,3.039319521,76.88988506,73.85056554
459,2.013106517,77.68831608,75.67520956
460,2.176193643,75.85503075,73.67883711
461,2.311868284,77.10495728,74.79308899
462,2.150337367,76.45542743,74.30509006
463,1.753428563,77.38580617,75.63237761
464,2.801040742,76.67990859,73.87886785
465,1.646631914,76.57757279,74.93094088
466,2.209708184,76.57157662,74.36186844
467,2.048985294,75.87697801,73.82799272
468,2.513786407,77.0220502,74.50826379
469,1.672808662,77.32432775,75.65151909
470,1.33508277,77.79524624,76.46016347
471,2.067357773,77.39854377,75.331186
472,2.722826774,77.05375576,74.33092898
473,2.282514776,76.34345495,74.06094018
474,2.006567107,76.66793308,74.66136597
475,2.28971244,77.17741446,74.88770202
476,2.957071888,76.47593277,73.51886089
477,2.64764415,76.41172146,73.7640773
478,0.8592390018,76.68389105,75.82465204
479,2.292240204,77.33586503,75.04362482
480,1.742214201,76.88338687,75.14117267
481,1.49304681,76.90945845,75.41641164
482,1.041027819,77.3934595,76.35243168
483,2.13278591,75.64268495,73.50989904
484,1.782303414,76.01851495,74.23621154
485,0.5545255435,75.72039673,75.16587119
486,2.522478198,77.7337185,75.2112403
487,1.312091883,75.56833382,74.25624194
488,2.266150282,77.38336322,75.11721293
489,1.941561659,75.95680923,74.01524757
490,0.5775783885,76.34440616,75.76682777
491,1.501808987,75.88363856,74.38182957
492,1.064172771,76.76292853,75.69875576
493,2.576318268,75.49170984,72.91539157
494,2.150668916,77.53759686,75.38692794
495,1.799366886,76.63378802,74.83442113
496,1.947648795,77.14386989,75.1962211
497,1.598237082,76.8632498,75.26501272
498,1.489846826,77.12621829,75.63637147
499,1.768038228,76.70940837,74.94137014
500,2.556791824,77.75212605,75.19533422
501,2.200649045,76.47452444,74.27387539
502,1.809894085,77.46408014,75.65418606
503,0.9671382896,76.47891635,75.51177806
504,2.215540244,76.01868722,73.80314698
505,3.432538971,77.85909619,74.42655722
506,2.355135439,76.20625674,73.8511213
507,2.158022194,76.82106278,74.66304059
508,2.036994532,75.96128584,73.9242913
509,1.788349381,76.23941161,74.45106222
510,1.238385252,76.4992524,75.26086715
511,1.710740435,76.44858801,74.73784757
512,0.4617606734,76.98294023,76.52117955
513,2.699434643,76.84668486,74.14725021
514,2.004420765,76.42419943,74.41977866
515,2.740341846,76.57681575,73.83647391
516,1.272805434,76.4924361,75.21963066
517,2.300877624,77.04225273,74.7413751
518,1.940969747,76.15858167,74.21761192
519,2.681807244,77.06316418,74.38135694
520,3.056011088,76.21941224,73.16340116
521,1.655278911,76.99036857,75.33508966
522,1.39440512,75.95970763,74.56530251
523,2.625405819,76.56112345,73.93571763
524,2.489539707,76.4504906,73.9609509
525,2.917577227,76.87606643,73.95848921
526,2.620091782,77.3304567,74.71036492
527,2.659200668,77.49333145,74.83413078
528,1.04528582,77.17276617,76.12748035
529,2.79408468,76.8616306,74.06754592
530,0.8535210412,76.15530656,75.30178552
531,3.142355792,76.71858813,73.57623234
532,1.778125861,77.57555712,75.79743126
533,2.97176998,77.03235726,74.06058728
534,2.691812883,76.64020613,73.94839324
535,1.845814933,76.35003737,74.50422243
536,2.835025285,77.5194199,74.68439461
537,2.683209815,77.71512252,75.03191271
538,2.331978962,76.8341518,74.50217284
539,1.072655048,75.79274004,74.72008499
540,1.608428096,76.57924573,74.97081763
541,1.207343194,75.30256835,74.09522516
542,1.865325225,75.57932289,73.71399767
543,1.373984639,76.57410531,75.20012067
544,1.878864719,77.65703671,75.778172
545,1.681136789,76.04666821,74.36553142
546,1.955674367,77.65266035,75.69698598
547,1.001273252,77.18328669,76.18201344
548,1.33198182,77.35976411,76.02778229
549,2.08788554,77.37142459,75.28353905
550,1.799728358,76.28742419,74.48769583
551,1.885503725,75.82145702,73.9359533
552,2.325245913,77.05519859,74.72995268
553,2.19227329,75.64881495,73.45654166
554,3.056524504,76.80501742,73.74849291
555,1.321788927,76.32842015,75.00663123
556,0.689083373,76.90482881,76.21574544
557,1.993514357,77.11971279,75.12619844
558,1.902565755,77.49780894,75.59524319
559,2.177060941,76.96863267,74.79157173
560,2.369623166,77.66064786,75.29102469
561,1.660805652,76.10082175,74.4400161
562,2.287840165,76.79020305,74.50236289
563,1.866595799,76.80759571,74.94099991
564,2.206307141,75.90509837,73.69879122
565,1.173762217,76.04417367,74.87041146
566,2.661924303,76.37514476,73.71322046
567,2.072404514,75.50063431,73.4282298
568,1.88981822,77.54802723,75.65820901
569,2.157338828,77.19002746,75.03268864
570,1.992154081,76.58190813,74.58975405
571,2.509541077,77.41373396,74.90419288
572,1.214872293,75.74105527,74.52618298
