model,episodes_seen,weighted_coverage,q25,q75,seed_count
full,2819.75838926,0.440838316241,0.425079077352,0.445244123237,5
full,2839.7852349,0.478606071728,0.450869730495,0.4888730862,5
full,2859.81208054,0.479379430044,0.467562234625,0.501322325281,5
full,2879.83892617,0.460553281978,0.433380139493,0.492015554911,5
full,2899.86577181,0.475694080327,0.461995333473,0.50334456271,5
full,2919.89261745,0.446676758214,0.437945478894,0.45958066532,5
full,2939.91946309,0.462562919463,0.437791657928,0.478076499581,5
full,2959.94630872,0.440035825572,0.426467639279,0.445107476716,5
full,2979.97315436,0.478453227191,0.474521429534,0.499985019175,5
full,3000,0.474489795918,0.448979591837,0.505102040816,5
a2c_pointer,16,0.224609375,0.21484375,0.236328125,5
a2c_pointer,36.0268456376,0.205038800336,0.201577908848,0.216754768182,5
a2c_pointer,56.0536912752,0.231826654739,0.228963712163,0.240411469747,5
a2c_pointer,76.0805369128,0.266962038591,0.260427590185,0.268502254614,5
a2c_pointer,96.1073825503,0.222297512755,0.203293266761,0.223865951582,5
a2c_pointer,116.134228188,0.299438968121,0.280941956795,0.307251468121,5
a2c_pointer,136.161073826,0.281997971168,0.266917417135,0.282379768182,5
a2c_pointer,156.187919463,0.30301580049,0.300920223899,0.332834864231,5
a2c_pointer,176.214765101,0.308372568826,0.302874178195,0.315274876729,5
a2c_pointer,196.241610738,0.303786644167,0.273996472016,0.304849078893,5
a2c_pointer,216.268456376,0.32451761745,0.31629614094,0.32745385906,5
a2c_pointer,236.295302013,0.310375505068,0.260037580468,0.323841340227,5
a2c_pointer,256.322147651,0.352346371644,0.344937604866,0.36106596057,5
a2c_pointer,276.348993289,0.293502495377,0.273991897514,0.306150885795,5
a2c_pointer,296.375838926,0.343655132591,0.335442698079,0.354429421858,5
a2c_pointer,316.402684564,0.311772600714,0.296884122252,0.321769197927,5
a2c_pointer,336.429530201,0.333629015128,0.326149169688,0.348125102993,5
a2c_pointer,356.456375839,0.360595047714,0.339604852664,0.363078727978,5
a2c_pointer,376.483221477,0.328398453551,0.328045253861,0.335622260649,5
a2c_pointer,396.510067114,0.352894950713,0.349915779677,0.376508428586,5
a2c_pointer,416.536912752,0.34394113927,0.334540270596,0.344364882593,5
a2c_pointer,436.563758389,0.34338490928,0.34268776591,0.369778313223,5
a2c_pointer,456.590604027,0.364681863465,0.330216089031,0.369053455327,5
a2c_pointer,476.617449664,0.34180854533,0.339458227843,0.349590582091,5
a2c_pointer,496.644295302,0.408346266779,0.389023699664,0.422200083893,5
a2c_pointer,516.67114094,0.366780543226,0.345501084505,0.367749882829,5
a2c_pointer,536.697986577,0.386472970847,0.375924129614,0.416811949455,5
a2c_pointer,556.724832215,0.378006062954,0.361769845312,0.390809371148,5
a2c_pointer,576.751677852,0.394217254593,0.393943921423,0.399911372372,5
a2c_pointer,596.77852349,0.383052995737,0.368371413163,0.423681205914,5
a2c_pointer,616.805369128,0.388030441571,0.376328544998,0.393109141727,5
a2c_pointer,636.832214765,0.410450529572,0.38127425021,0.422074244966,5
a2c_pointer,656.859060403,0.376743500462,0.369268978565,0.400805647343,5
a2c_pointer,676.88590604,0.467220925965,0.457303901007,0.479530201342,5
a2c_pointer,696.912751678,0.40229923555,0.385550834218,0.404003785868,5
a2c_pointer,716.939597315,0.419994505248,0.418638606869,0.449481181944,5
a2c_pointer,736.966442953,0.447881055998,0.444165530621,0.458524276426,5
a2c_pointer,756.993288591,0.393737132542,0.383245071309,0.39734229472,5
a2c_pointer,777.020134228,0.463294358221,0.446882209522,0.474929871015,5
a2c_pointer,797.046979866,0.412640819751,0.397832916724,0.414248529739,5
a2c_pointer,817.073825503,0.444557907842,0.426106614783,0.446535042289,5
a2c_pointer,837.100671141,0.453417393593,0.440812099798,0.454696916518,5
a2c_pointer,857.127516779,0.432781174026,0.428976780257,0.442892428049,5
a2c_pointer,877.154362416,0.451220375419,0.442630557886,0.459674522861,5
a2c_pointer,897.181208054,0.419136184256,0.402574882722,0.438500505068,5
a2c_pointer,917.208053691,0.47039180474,0.468704121225,0.47305932781,5
a2c_pointer,937.234899329,0.411329623082,0.400198816943,0.434483075949,5
a2c_pointer,957.261744966,0.434639732571,0.416550386933,0.454377236423,5
a2c_pointer,977.288590604,0.453177432886,0.435287987626,0.460885067114,5
a2c_pointer,997.315436242,0.454630572867,0.447787546227,0.464900998151,5
a2c_pointer,1017.34228188,0.444723753595,0.43453015854,0.468094802938,5
a2c_pointer,1037.36912752,0.454845654705,0.440584979797,0.455263512704,5
a2c_pointer,1057.39597315,0.449035234899,0.432269819631,0.449343278104,5
a2c_pointer,1077.42281879,0.449082317491,0.43510991645,0.450529037118,5
a2c_pointer,1097.44966443,0.467553219379,0.442390677433,0.468223049497,5
a2c_pointer,1117.47651007,0.425994298726,0.417402581838,0.450504211752,5
a2c_pointer,1137.5033557,0.457677565573,0.43538663368,0.461032601484,5
a2c_pointer,1157.53020134,0.479878880034,0.413601090604,0.495406879195,5
a2c_pointer,1177.55704698,0.445548715501,0.44353834235,0.462026284927,5
a2c_pointer,1197.58389262,0.4765625,0.45167260906,0.527244127517,5
a2c_pointer,1217.61073826,0.456163432235,0.435027307903,0.464843642994,5
a2c_pointer,1237.63758389,0.472550314169,0.470636781348,0.484994029071,5
a2c_pointer,1257.66442953,0.458957034995,0.45404760478,0.463362681482,5
a2c_pointer,1277.69127517,0.447166912067,0.433890958858,0.450394744727,5
a2c_pointer,1297.71812081,0.460717281879,0.430089922399,0.466411493289,5
a2c_pointer,1317.74496644,0.406368134502,0.404182004178,0.410783197507,5
a2c_pointer,1337.77181208,0.468763108221,0.452792051174,0.513728240352,5
a2c_pointer,1357.79865772,0.446283043419,0.435492569511,0.4552961495,5
a2c_pointer,1377.82550336,0.467463521692,0.448786847478,0.472039762319,5
a2c_pointer,1397.85234899,0.483640939597,0.469138003356,0.493970218121,5
a2c_pointer,1417.87919463,0.442567932689,0.438876363255,0.447631317628,5
a2c_pointer,1437.90604027,0.467491610738,0.462195889262,0.472420302013,5
a2c_pointer,1457.93288591,0.466975307321,0.444166680934,0.480187217504,5
a2c_pointer,1477.95973154,0.470760640666,0.47069804222,0.52514317388,5
a2c_pointer,1497.98657718,0.463561284413,0.45412336495,0.465923974456,5
a2c_pointer,1518.01342282,0.503372089975,0.487344012164,0.510843776216,5
a2c_pointer,1538.04026846,0.428283957249,0.418548079886,0.446754350859,5
a2c_pointer,1558.06711409,0.447424127474,0.426714742629,0.461887912936,5
a2c_pointer,1578.09395973,0.461868183725,0.459095794883,0.463031538381,5
a2c_pointer,1598.12080537,0.45574236406,0.45527080248,0.479144083965,5
a2c_pointer,1618.14765101,0.505418938758,0.47178324245,0.505424837458,5
a2c_pointer,1638.17449664,0.443938062851,0.439195454818,0.460588393285,5
a2c_pointer,1658.20134228,0.463165028228,0.445151188621,0.477528228154,5
a2c_pointer,1678.22818792,0.443539358906,0.439352432458,0.456963033745,5
a2c_pointer,1698.25503356,0.438867401512,0.430375146598,0.45606485306,5
a2c_pointer,1718.28187919,0.447712615352,0.43142696099,0.478398961829,5
a2c_pointer,1738.30872483,0.469996458105,0.457794737022,0.474332176243,5
a2c_pointer,1758.33557047,0.469706244757,0.467823904153,0.501228240352,5
a2c_pointer,1778.36241611,0.418242631574,0.411502437594,0.426797431431,5
a2c_pointer,1798.38926174,0.474731161078,0.461885237788,0.482334999593,5
a2c_pointer,1818.41610738,0.449397021812,0.44768705432,0.469607933096,5
a2c_pointer,1838.44295302,0.43291887723,0.425909857704,0.44372647208,5
a2c_pointer,1858.46979866,0.488557178062,0.485307649958,0.499929871015,5
a2c_pointer,1878.4966443,0.457031517515,0.448887834286,0.461569102263,5
a2c_pointer,1898.52348993,0.48241070626,0.47733474813,0.496711508376,5
a2c_pointer,1918.55033557,0.465285630821,0.458921723052,0.477058151281,5
a2c_pointer,1938.57718121,0.455914509785,0.445084644334,0.457547687175,5
a2c_pointer,1958.60402685,0.466770658557,0.465453282299,0.482674208263,5
a2c_pointer,1978.63087248,0.433673736902,0.421742687218,0.455715131061,5
a2c_pointer,1998.65771812,0.472457005034,0.458252936242,0.492355285235,5
a2c_pointer,2018.68456376,0.467905723531,0.463631373271,0.470185484009,5
a2c_pointer,2038.7114094,0.462707109899,0.450647546141,0.50595113255,5
a2c_pointer,2058.73825503,0.470197147651,0.468148198877,0.480648840912,5
a2c_pointer,2078.76510067,0.474766673658,0.472994656126,0.510019362716,5
a2c_pointer,2098.79194631,0.472907820846,0.451465766676,0.481228812834,5
a2c_pointer,2118.81879195,0.474712903198,0.474081434692,0.485433288248,5
a2c_pointer,2138.84563758,0.475377516779,0.451510067114,0.475398489933,5
a2c_pointer,2158.87248322,0.457215193124,0.443614958567,0.475939404705,5
a2c_pointer,2178.89932886,0.446245805369,0.44211409396,0.474313129195,5
a2c_pointer,2198.9261745,0.461344871422,0.429231119881,0.472597289755,5
a2c_pointer,2218.95302013,0.473210005479,0.458063321805,0.508969233667,5
a2c_pointer,2238.97986577,0.522441275168,0.456331270973,0.526361944211,5
a2c_pointer,2259.00671141,0.458290174291,0.455459868511,0.460051491234,5
a2c_pointer,2279.03355705,0.5,0.495236472315,0.50637190646,5
a2c_pointer,2299.06040268,0.462085673195,0.457012737981,0.471084868511,5
a2c_pointer,2319.08724832,0.508716833525,0.504383496268,0.524160458542,5
a2c_pointer,2339.11409396,0.486046431996,0.469790097247,0.500616353924,5
