model,training_seed,environment_interactions,weighted_coverage,series,q25,q75
full,43,14383.94413,0.4511752841,seed,,
full,43,14483.3743,0.4305905031,seed,,
full,43,14582.80447,0.4753696417,seed,,
full,43,14682.23464,0.4096405646,seed,,
full,43,14781.6648,0.4169364782,seed,,
full,43,14881.09497,0.4540406964,seed,,
full,43,14980.52514,0.4937030557,seed,,
full,43,15079.95531,0.4640231264,seed,,
full,43,15179.38547,0.4206247571,seed,,
full,43,15278.81564,0.4217584885,seed,,
full,43,15378.24581,0.4612918498,seed,,
full,43,15477.67598,0.5000686913,seed,,
full,43,15577.10615,0.488391333,seed,,
full,43,15676.53631,0.4566031459,seed,,
full,43,15775.96648,0.4395884495,seed,,
full,43,15875.39665,0.4978838052,seed,,
full,43,15974.82682,0.5069270852,seed,,
full,43,16074.25698,0.4991948829,seed,,
full,43,16173.68715,0.4688713657,seed,,
full,43,16273.11732,0.4697594325,seed,,
full,43,16372.54749,0.4859898743,seed,,
full,43,16471.97765,0.478009071,seed,,
full,43,16571.40782,0.4438504924,seed,,
full,43,16670.83799,0.4218039206,seed,,
full,43,16770.26816,0.4348116647,seed,,
full,43,16869.69832,0.4418244261,seed,,
full,43,16969.12849,0.4209659521,seed,,
full,43,17068.55866,0.4101193735,seed,,
full,43,17167.98883,0.4660234555,seed,,
full,43,17267.41899,0.4002009553,seed,,
full,43,17366.84916,0.4353897114,seed,,
full,43,17466.27933,0.440972733,seed,,
full,43,17565.7095,0.4568304818,seed,,
full,43,17665.13966,0.4652557984,seed,,
full,43,17764.56983,0.4644770533,seed,,
full,43,17864,0.4730336102,seed,,
full,44,66,0.236328125,seed,,
full,44,165.4301676,0.2257624135,seed,,
full,44,264.8603352,0.249462444,seed,,
full,44,364.2905028,0.3517546919,seed,,
full,44,463.7206704,0.2993942849,seed,,
full,44,563.150838,0.2772576984,seed,,
full,44,662.5810056,0.3190748,seed,,
full,44,762.0111732,0.3625016317,seed,,
full,44,861.4413408,0.3770220828,seed,,
full,44,960.8715084,0.4234414625,seed,,
full,44,1060.301676,0.4362913623,seed,,
full,44,1159.731844,0.402942482,seed,,
full,44,1259.162011,0.3876825206,seed,,
full,44,1358.592179,0.4576256396,seed,,
full,44,1458.022346,0.4608417803,seed,,
full,44,1557.452514,0.4245310092,seed,,
full,44,1656.882682,0.3809144355,seed,,
full,44,1756.312849,0.468972233,seed,,
full,44,1855.743017,0.3899767789,seed,,
full,44,1955.173184,0.3804183379,seed,,
full,44,2054.603352,0.4483841111,seed,,
full,44,2154.03352,0.4788573955,seed,,
full,44,2253.463687,0.4219406785,seed,,
full,44,2352.893855,0.4317738381,seed,,
full,44,2452.324022,0.4529668655,seed,,
full,44,2551.75419,0.4468514651,seed,,
full,44,2651.184358,0.414866695,seed,,
full,44,2750.614525,0.4285605957,seed,,
full,44,2850.044693,0.4334742682,seed,,
full,44,2949.47486,0.4399040047,seed,,
full,44,3048.905028,0.4644486695,seed,,
full,44,3148.335196,0.4505099173,seed,,
full,44,3247.765363,0.4364858084,seed,,
full,44,3347.195531,0.4351284262,seed,,
full,44,3446.625698,0.4023572527,seed,,
full,44,3546.055866,0.3926898347,seed,,
full,44,3645.486034,0.3968450667,seed,,
full,44,3744.916201,0.4218425046,seed,,
full,44,3844.346369,0.4446771334,seed,,
full,44,3943.776536,0.4351128121,seed,,
full,44,4043.206704,0.4167358283,seed,,
full,44,4142.636872,0.4431835222,seed,,
full,44,4242.067039,0.4921234923,seed,,
full,44,4341.497207,0.4571524759,seed,,
full,44,4440.927374,0.4308449807,seed,,
full,44,4540.357542,0.4299041144,seed,,
full,44,4639.787709,0.4839710334,seed,,
full,44,4739.217877,0.5027854392,seed,,
full,44,4838.648045,0.4718124787,seed,,
full,44,4938.078212,0.4461343285,seed,,
full,44,5037.50838,0.4495235299,seed,,
full,44,5136.938547,0.4843281239,seed,,
full,44,5236.368715,0.4638945829,seed,,
full,44,5335.798883,0.4466551212,seed,,
full,44,5435.22905,0.4587686216,seed,,
full,44,5534.659218,0.4582005093,seed,,
full,44,5634.089385,0.4498847192,seed,,
full,44,5733.519553,0.4344556712,seed,,
full,44,5832.949721,0.4377474028,seed,,
full,44,5932.379888,0.4591891146,seed,,
full,44,6031.810056,0.490550532,seed,,
full,44,6131.240223,0.4536398199,seed,,
full,44,6230.670391,0.4454252528,seed,,
full,44,6330.100559,0.5304677962,seed,,
full,44,6429.530726,0.4855584485,seed,,
full,44,6528.960894,0.4356537259,seed,,
full,44,6628.391061,0.4222802773,seed,,
full,44,6727.821229,0.441749431,seed,,
full,44,6827.251397,0.4568082087,seed,,
full,44,6926.681564,0.4563070486,seed,,
full,44,7026.111732,0.4361421315,seed,,
full,44,7125.541899,0.4249255667,seed,,
full,44,7224.972067,0.455196105,seed,,
full,44,7324.402235,0.4749296735,seed,,
full,44,7423.832402,0.4755788251,seed,,
full,44,7523.26257,0.4405436417,seed,,
full,44,7622.692737,0.4522059586,seed,,
full,44,7722.122905,0.4264239874,seed,,
full,44,7821.553073,0.371401509,seed,,
full,44,7920.98324,0.4023834068,seed,,
