record_type,model,model_label,seed,episodes_seen,environment_interactions,safe_weighted_coverage,curve_source,q25,median,q75
seed,full,PPO+Pointer,42,2768,45482,1,training_batch,,,
seed,full,PPO+Pointer,42,2784,45754,1,training_batch,,,
seed,full,PPO+Pointer,42,2800,46026,1,training_batch,,,
seed,full,PPO+Pointer,42,2816,46297,0.998046875,training_batch,,,
seed,full,PPO+Pointer,42,2832,46569,1,training_batch,,,
seed,full,PPO+Pointer,42,2848,46841,1,training_batch,,,
seed,full,PPO+Pointer,42,2864,47113,1,training_batch,,,
seed,full,PPO+Pointer,42,2880,47375,0.970703125,training_batch,,,
seed,full,PPO+Pointer,42,2896,47645,0.99609375,training_batch,,,
seed,full,PPO+Pointer,42,2912,47917,1,training_batch,,,
seed,full,PPO+Pointer,42,2928,48189,1,training_batch,,,
seed,full,PPO+Pointer,42,2944,48441,0.94140625,training_batch,,,
seed,full,PPO+Pointer,42,2960,48705,0.9765625,training_batch,,,
seed,full,PPO+Pointer,42,2976,48977,1,training_batch,,,
seed,full,PPO+Pointer,42,2992,49249,1,training_batch,,,
seed,full,PPO+Pointer,42,3000,49385,1,training_batch,,,
seed,full,PPO+Pointer,43,16,150,0.513671875,training_batch,,,
seed,full,PPO+Pointer,43,32,336,0.671875,training_batch,,,
seed,full,PPO+Pointer,43,48,522,0.673828125,training_batch,,,
seed,full,PPO+Pointer,43,64,719,0.720703125,training_batch,,,
seed,full,PPO+Pointer,43,80,923,0.75,training_batch,,,
seed,full,PPO+Pointer,43,96,1127,0.779296875,training_batch,,,
seed,full,PPO+Pointer,43,112,1347,0.837890625,training_batch,,,
seed,full,PPO+Pointer,43,128,1589,0.890625,training_batch,,,
seed,full,PPO+Pointer,43,144,1828,0.900390625,training_batch,,,
seed,full,PPO+Pointer,43,160,2077,0.94140625,training_batch,,,
seed,full,PPO+Pointer,43,176,2313,0.91796875,training_batch,,,
seed,full,PPO+Pointer,43,192,2565,0.955078125,training_batch,,,
seed,full,PPO+Pointer,43,208,2826,0.974609375,training_batch,,,
seed,full,PPO+Pointer,43,224,3087,0.96875,training_batch,,,
seed,full,PPO+Pointer,43,240,3356,0.994140625,training_batch,,,
seed,full,PPO+Pointer,43,256,3627,0.998046875,training_batch,,,
seed,full,PPO+Pointer,43,272,3898,0.99609375,training_batch,,,
seed,full,PPO+Pointer,43,288,4170,1,training_batch,,,
seed,full,PPO+Pointer,43,304,4442,1,training_batch,,,
seed,full,PPO+Pointer,43,320,4714,1,training_batch,,,
seed,full,PPO+Pointer,43,336,4986,1,training_batch,,,
