model,training_seed,environment_interactions,return_rate
full,45,70,1
full,45,146,1
full,45,242,1
full,45,328,1
full,45,426,1
full,45,542,1
full,45,630,1
full,45,738,1
full,45,858,1
full,45,957,1
full,45,1072,1
full,45,1192,1
full,45,1308,1
full,45,1425,1
full,45,1588,1
full,45,1662,1
full,45,1789,1
full,45,1924,1
full,45,2042,1
full,45,2168,1
full,45,2332,1
full,45,2448,1
full,45,2592,1
full,45,2742,1
full,45,2855,1
full,45,2989,1
full,45,3149,1
full,45,3269,1
full,45,3403,1
full,45,3553,1
full,45,3681,1
full,45,3764,1
full,45,3911,1
full,45,4019,1
full,45,4156,1
full,45,4291,1
full,45,4378,1
full,45,4488,1
full,45,4625,1
full,45,4723,1
full,45,4845,1
full,45,4990,1
full,45,5117,1
full,45,5225,1
full,45,5371,1
full,45,5486,1
full,45,5620,1
full,45,5765,1
full,45,5898,1
full,45,6031,1
full,45,6191,1
full,45,6305,1
full,45,6454,1
full,45,6601,1
full,45,6722,1
full,45,6860,1
full,45,7017,1
full,45,7133,1
full,45,7282,1
full,45,7464,1
full,45,7592,1
full,45,7729,1
full,45,7884,1
full,45,7915,1
full,45,8061,1
full,45,8234,1
full,45,8351,1
full,45,8474,1
full,45,8647,1
full,45,8768,1
full,45,8915,1
full,45,9053,1
full,45,9167,1
full,45,9315,1
full,45,9479,1
full,45,9594,1
full,45,9736,1
full,45,9891,1
full,45,10009,1
full,45,10143,1
full,45,10309,1
full,45,10432,1
full,45,10591,1
full,45,10749,1
full,45,10885,1
full,45,11044,1
full,45,11197,1
full,45,11337,1
full,45,11506,1
full,45,11697,1
full,45,11820,1
full,45,11969,1
full,45,12108,1
full,45,12222,1
full,45,12366,1
full,45,12405,1
full,45,12527,1
full,45,12659,1
full,45,12808,1
full,45,12916,1
full,45,13048,1
full,45,13195,1
full,45,13328,1
full,45,13476,1
full,45,13630,1
full,45,13747,1
full,45,13887,1
full,45,14053,1
full,45,14161,1
full,45,14300,1
full,45,14482,1
full,45,14594,1
full,45,14717,1
full,45,14896,1
full,45,15014,1
full,45,15157,1
full,45,15322,1
full,45,15460,1
full,45,15600,1
full,45,15761,1
full,45,15885,1
full,45,16028,1
full,45,16197,1
full,45,16329,1
full,45,16488,1
full,45,16654,1
full,45,16765,1
full,45,16797,1
full,45,16967,1
full,45,17083,1
full,45,17242,1
full,45,17413,1
full,45,17534,1
full,45,17682,1
full,45,17846,1
full,45,17970,1
full,45,18125,1
full,45,18280,1
full,45,18409,1
full,45,18542,1
full,45,18720,1
full,45,18857,1
full,45,18985,1
full,45,19156,1
full,45,19269,1
full,45,19427,1
full,45,19589,1
full,45,19704,1
full,45,19841,1
full,45,19995,1
full,45,20132,1
full,45,20269,1
full,45,20425,1
full,45,20572,1
full,45,20723,1
full,45,20888,1
full,45,21019,1
full,45,21167,1
full,45,21350,1
full,45,21379,1
full,45,21535,1
full,45,21702,1
full,45,21835,1
full,45,21989,1
full,45,22171,1
full,45,22300,1
