model,training_seed,environment_interactions,mean_weighted_coverage
full,44,11608,0.546875
full,44,11768,0.4196428571
full,44,11897,0.49609375
full,44,12049,0.5046875
full,44,12224,0.4413265306
full,44,12357,0.48828125
full,44,12514,0.503125
full,44,12707,0.5344387755
full,44,12848,0.546875
full,44,13009,0.534375
full,44,13036,0.2653061224
full,44,13171,0.533203125
full,44,13308,0.4421875
full,44,13465,0.4400510204
full,44,13584,0.439453125
full,44,13731,0.4671875
full,44,13915,0.4808673469
full,44,14038,0.462890625
full,44,14170,0.4078125
full,44,14344,0.4897959184
full,44,14457,0.439453125
full,44,14599,0.44375
full,44,14761,0.4426020408
full,44,14880,0.47265625
full,44,15039,0.4828125
full,44,15225,0.4961734694
full,44,15365,0.529296875
full,44,15496,0.4203125
full,44,15671,0.4451530612
full,44,15779,0.41796875
full,44,15917,0.434375
full,44,16070,0.4068877551
full,44,16198,0.490234375
full,44,16348,0.5109375
full,44,16509,0.431122449
full,44,16638,0.498046875
full,44,16775,0.4640625
full,44,16945,0.4681122449
full,44,17064,0.451171875
full,44,17211,0.4578125
full,44,17388,0.4859693878
full,44,17524,0.5
full,44,17556,0.4375
full,44,17727,0.4591836735
full,44,17862,0.49609375
full,44,18016,0.5109375
full,44,18173,0.4336734694
full,44,18312,0.513671875
full,44,18468,0.4734375
full,44,18645,0.450255102
full,44,18765,0.443359375
full,44,18910,0.4578125
full,44,19088,0.4693877551
full,44,19212,0.47265625
full,44,19350,0.434375
full,44,19509,0.4272959184
full,44,19635,0.490234375
full,44,19787,0.471875
full,44,19962,0.4706632653
full,44,20111,0.568359375
full,44,20264,0.475
full,44,20400,0.3584183673
full,44,20533,0.521484375
full,44,20696,0.5203125
full,44,20883,0.5012755102
full,44,21004,0.44140625
full,44,21130,0.378125
full,44,21317,0.4885204082
full,44,21438,0.458984375
full,44,21572,0.45
full,44,21726,0.4413265306
full,44,21847,0.447265625
full,44,22003,0.4828125
full,44,22182,0.4579081633
full,44,22209,0.421875
full,44,22331,0.3828125
full,44,22479,0.3903061224
full,44,22582,0.384765625
full,44,22739,0.5078125
full,44,22923,0.4808673469
full,44,23046,0.482421875
full,44,23192,0.41875
full,44,23361,0.4528061224
full,44,23476,0.4609375
full,44,23622,0.4703125
full,44,23796,0.4451530612
full,44,23918,0.447265625
full,44,24073,0.4828125
full,44,24259,0.4987244898
full,44,24397,0.55078125
full,44,24557,0.54375
full,44,24731,0.4515306122
full,44,24867,0.494140625
full,44,25018,0.471875
full,44,25200,0.4885204082
full,44,25332,0.44921875
full,44,25514,0.5734375
full,44,25701,0.5216836735
full,44,25806,0.40234375
full,44,25952,0.4625
full,44,26115,0.450255102
full,44,26237,0.435546875
full,44,26382,0.4390625
full,44,26549,0.4221938776
full,44,26670,0.474609375
full,44,26827,0.478125
full,44,26861,0.3418367347
full,45,70,0.21484375
full,45,146,0.203125
full,45,242,0.2193877551
full,45,328,0.314453125
full,45,426,0.3109375
full,45,542,0.3214285714
full,45,630,0.337890625
full,45,738,0.35625
full,45,858,0.318877551
full,45,957,0.408203125
full,45,1072,0.3828125
full,45,1192,0.3380102041
