record_type,model,training_seed,episodes_seen,mean_return,batch_episode_count,reward_schema,source_path,source_sha256,median,q25,q75
seed,full,42.0,564,0.44720641896128654,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,580,0.44121403992176056,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,596,0.42309717182070017,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,612,0.4191857920959592,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,628,0.435815236531198,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,644,0.44805134646594524,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,660,0.4278601184487343,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,676,0.5408753659576178,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,692,0.45436747185885906,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,708,0.45210311096161604,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
seed,full,42.0,724,0.4726188573986292,16,multimap_v3_1,paper_runs\multimap_v3_1\formal_training\formal_full_seed42_3000ep\training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075,,,
