record_type,model,training_seed,episodes_seen,environment_interactions,safe_weighted_coverage,median,q25,q75,validation_mode,validation_instance_count,validation_instances_hash,source_path,source_sha256
seed,full,43,250,1675,0.490077003023432,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,314,2182,0.491454081632653,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,474,3602,0.493786611866969,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,500,3816,0.492603221844293,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,628,4946,0.492832341269841,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,788,6390,0.495415249433106,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,948,7831,0.496186460695389,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,1000,8300,0.492287887377173,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,1096,9177,0.486196145124717,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
seed,full,43,1256,10595,0.495175500755858,,,,external_multimap_v3_1,108,64b3e7eb929c5ddc5f8cd2efc3a4c199933c03d038bdbe8cd2ab5acb207388a5,paper_runs/multimap_v3_1/formal_training/formal_full_seed43_3000ep/training_metrics.jsonl,21aed85dab1f5ca65f48b892d9d26bb73fd6962393a53ca7eb021e01cc3d9978
