episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
208.0,0.4375,,full,,,seed,43.0
224.0,0.446875,,full,,,seed,43.0
240.0,0.4043367346938775,,full,,,seed,43.0
250.0,0.53125,,full,,,seed,43.0
266.0,0.4078125,,full,,,seed,43.0
282.0,0.3635204081632652,,full,,,seed,43.0
298.0,0.3984375,,full,,,seed,43.0
314.0,0.4546875,,full,,,seed,43.0
330.0,0.4094387755102041,,full,,,seed,43.0
346.0,0.486328125,,full,,,seed,43.0
362.0,0.4703125,,full,,,seed,43.0
378.0,0.4464285714285714,,full,,,seed,43.0
394.0,0.462890625,,full,,,seed,43.0
410.0,0.475,,full,,,seed,43.0
426.0,0.4413265306122449,,full,,,seed,43.0
442.0,0.494140625,,full,,,seed,43.0
458.0,0.4031249999999999,,full,,,seed,43.0
474.0,0.4260204081632653,,full,,,seed,43.0
490.0,0.466796875,,full,,,seed,43.0
500.0,0.4525,,full,,,seed,43.0
516.0,0.447704081632653,,full,,,seed,43.0
532.0,0.45703125,,full,,,seed,43.0
548.0,0.484375,,full,,,seed,43.0
564.0,0.4196428571428571,,full,,,seed,43.0
580.0,0.486328125,,full,,,seed,43.0
596.0,0.471875,,full,,,seed,43.0
612.0,0.3979591836734694,,full,,,seed,43.0
628.0,0.50390625,,full,,,seed,43.0
644.0,0.4656249999999999,,full,,,seed,43.0
660.0,0.4540816326530612,,full,,,seed,43.0
676.0,0.451171875,,full,,,seed,43.0
692.0,0.471875,,full,,,seed,43.0
708.0,0.4783163265306122,,full,,,seed,43.0
724.0,0.51953125,,full,,,seed,43.0
740.0,0.53125,,full,,,seed,43.0
756.0,0.3737244897959183,,full,,,seed,43.0
772.0,0.5078125,,full,,,seed,43.0
788.0,0.4921875,,full,,,seed,43.0
804.0,0.4017857142857142,,full,,,seed,43.0
820.0,0.443359375,,full,,,seed,43.0
836.0,0.4234375,,full,,,seed,43.0
852.0,0.451530612244898,,full,,,seed,43.0
868.0,0.41796875,,full,,,seed,43.0
884.0,0.4609375,,full,,,seed,43.0
900.0,0.4655612244897959,,full,,,seed,43.0
916.0,0.505859375,,full,,,seed,43.0
932.0,0.4125,,full,,,seed,43.0
948.0,0.4068877551020408,,full,,,seed,43.0
