aggregation,grid_id,is_first,model,rank,scope,score,score_0_to_1,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,8,0.0,traditional_ppo,3,core_learning_training_aware,0.6019110179207952,0.6019110179207952,60.191101792079515,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,8,0.0,a2c_pointer,2,core_learning_training_aware,0.709720543758805,0.709720543758805,70.9720543758805,0.2,0.1,0.1,0.15,0.15,0.15,0.15
arithmetic,8,0.0,a2c_pointer,2,core_learning_training_aware,0.7470092136292865,0.7470092136292865,74.70092136292865,0.2,0.1,0.1,0.15,0.15,0.15,0.15
geometric,9,1.0,full,1,core_learning_training_aware,0.7126718506878814,0.7126718506878814,71.26718506878814,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,1.0,full,1,core_learning_training_aware,0.7528908319876648,0.7528908319876648,75.28908319876648,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,traditional_ppo,3,core_learning_training_aware,0.5497519104207281,0.5497519104207281,54.975191042072815,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,traditional_ppo,3,core_learning_training_aware,0.6422406305896301,0.6422406305896301,64.22406305896301,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,9,0.0,a2c_pointer,2,core_learning_training_aware,0.7105895059503136,0.7105895059503136,71.05895059503136,0.2,0.1,0.1,0.15,0.15,0.2,0.1
arithmetic,9,0.0,a2c_pointer,2,core_learning_training_aware,0.7481818369704806,0.7481818369704806,74.81818369704806,0.2,0.1,0.1,0.15,0.15,0.2,0.1
geometric,10,1.0,full,1,core_learning_training_aware,0.7380143457550568,0.7380143457550568,73.80143457550568,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,1.0,full,1,core_learning_training_aware,0.7783349271479991,0.7783349271479991,77.83349271479992,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,traditional_ppo,3,core_learning_training_aware,0.47453893175060924,0.47453893175060924,47.45389317506093,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,traditional_ppo,3,core_learning_training_aware,0.5802775657710401,0.5802775657710401,58.02775657710401,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,10,0.0,a2c_pointer,2,core_learning_training_aware,0.7349817097215764,0.7349817097215764,73.49817097215764,0.2,0.1,0.15,0.05,0.1,0.2,0.2
arithmetic,10,0.0,a2c_pointer,2,core_learning_training_aware,0.7727875571480648,0.7727875571480648,77.27875571480648,0.2,0.1,0.15,0.05,0.1,0.2,0.2
geometric,11,1.0,full,1,core_learning_training_aware,0.7137819679691131,0.7137819679691131,71.37819679691131,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,1.0,full,1,core_learning_training_aware,0.754319081154254,0.754319081154254,75.4319081154254,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,traditional_ppo,3,core_learning_training_aware,0.4641894346556981,0.4641894346556981,46.41894346556981,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,traditional_ppo,3,core_learning_training_aware,0.5626922087754467,0.5626922087754467,56.26922087754467,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,11,0.0,a2c_pointer,2,core_learning_training_aware,0.7120147439881679,0.7120147439881679,71.20147439881679,0.2,0.1,0.15,0.05,0.15,0.15,0.2
arithmetic,11,0.0,a2c_pointer,2,core_learning_training_aware,0.7499887514028322,0.7499887514028322,74.99887514028322,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,12,1.0,full,1,core_learning_training_aware,0.7145374280195808,0.7145374280195808,71.45374280195807,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,1.0,full,1,core_learning_training_aware,0.7553511810012609,0.7553511810012609,75.53511810012608,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,traditional_ppo,3,core_learning_training_aware,0.5054459116878735,0.5054459116878735,50.54459116878734,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,traditional_ppo,3,core_learning_training_aware,0.6030218214442817,0.6030218214442817,60.30218214442817,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,a2c_pointer,2,core_learning_training_aware,0.7128865151349428,0.7128865151349428,71.28865151349429,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,a2c_pointer,2,core_learning_training_aware,0.7511613747440263,0.7511613747440263,75.11613747440263,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,13,1.0,full,1,core_learning_training_aware,0.760479775682785,0.760479775682785,76.0479775682785,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,1.0,full,1,core_learning_training_aware,0.7991102034073175,0.7991102034073175,79.91102034073175,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,traditional_ppo,3,core_learning_training_aware,0.4841248100543631,0.4841248100543631,48.412481005436305,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,traditional_ppo,3,core_learning_training_aware,0.5958802972608251,0.5958802972608251,59.58802972608252,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,a2c_pointer,2,core_learning_training_aware,0.756131900237704,0.756131900237704,75.6131900237704,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,a2c_pointer,2,core_learning_training_aware,0.7924187374178487,0.7924187374178487,79.24187374178487,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,14,1.0,full,1,core_learning_training_aware,0.7355097553452248,0.7355097553452248,73.55097553452248,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,1.0,full,1,core_learning_training_aware,0.7750943574135727,0.7750943574135727,77.50943574135727,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,traditional_ppo,3,core_learning_training_aware,0.4735662489332595,0.4735662489332595,47.35662489332595,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,traditional_ppo,3,core_learning_training_aware,0.5782949402652319,0.5782949402652319,57.829494026523186,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,a2c_pointer,2,core_learning_training_aware,0.732504025947778,0.732504025947778,73.2504025947778,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,a2c_pointer,2,core_learning_training_aware,0.7696199316726162,0.7696199316726162,76.96199316726162,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,15,1.0,full,1,core_learning_training_aware,0.7362882118793307,0.7362882118793307,73.62882118793307,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,1.0,full,1,core_learning_training_aware,0.7761264572605794,0.7761264572605794,77.61264572605793,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,traditional_ppo,3,core_learning_training_aware,0.5156561234837651,0.5156561234837651,51.56561234837651,0.2,0.1,0.15,0.1,0.1,0.2,0.15
