episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
2256.0,0.4706632653061224,,full,,,seed,43
2272.0,0.5078125,,full,,,seed,43
2288.0,0.5078125,,full,,,seed,43
2304.0,0.4311224489795918,,full,,,seed,43
2320.0,0.599609375,,full,,,seed,43
2336.0,0.48281250000000003,,full,,,seed,43
2352.0,0.4413265306122449,,full,,,seed,43
2368.0,0.482421875,,full,,,seed,43
2384.0,0.49375,,full,,,seed,43
2400.0,0.47066326530612246,,full,,,seed,43
2416.0,0.44921875,,full,,,seed,43
2432.0,0.4734375,,full,,,seed,43
2448.0,0.41709183673469385,,full,,,seed,43
2464.0,0.490234375,,full,,,seed,43
2480.0,0.4140625,,full,,,seed,43
2496.0,0.4362244897959183,,full,,,seed,43
2500.0,0.5625,,full,,,seed,43
2516.0,0.4265625,,full,,,seed,43
2532.0,0.4272959183673469,,full,,,seed,43
2548.0,0.48046875,,full,,,seed,43
2564.0,0.5,,full,,,seed,43
2580.0,0.44260204081632654,,full,,,seed,43
2596.0,0.501953125,,full,,,seed,43
2612.0,0.54375,,full,,,seed,43
2628.0,0.4362244897959183,,full,,,seed,43
2644.0,0.498046875,,full,,,seed,43
2660.0,0.5062500000000001,,full,,,seed,43
2676.0,0.5012755102040817,,full,,,seed,43
2692.0,0.490234375,,full,,,seed,43
2708.0,0.546875,,full,,,seed,43
2724.0,0.475765306122449,,full,,,seed,43
2740.0,0.505859375,,full,,,seed,43
2756.0,0.4828125,,full,,,seed,43
2772.0,0.4375,,full,,,seed,43
2788.0,0.53515625,,full,,,seed,43
2804.0,0.534375,,full,,,seed,43
2820.0,0.4438775510204081,,full,,,seed,43
2836.0,0.447265625,,full,,,seed,43
2852.0,0.44999999999999996,,full,,,seed,43
2868.0,0.485969387755102,,full,,,seed,43
2884.0,0.494140625,,full,,,seed,43
2900.0,0.428125,,full,,,seed,43
2916.0,0.45663265306122447,,full,,,seed,43
2932.0,0.46875,,full,,,seed,43
2948.0,0.45625,,full,,,seed,43
2964.0,0.44132653061224486,,full,,,seed,43
2980.0,0.478515625,,full,,,seed,43
2996.0,0.5296874999999999,,full,,,seed,43
3000.0,0.44897959183673475,,full,,,seed,43
16.0,0.236328125,,full,,,seed,44
32.0,0.22499999999999998,,full,,,seed,44
48.0,0.2474489795918367,,full,,,seed,44
64.0,0.353515625,,full,,,seed,44
80.0,0.3,,full,,,seed,44
96.0,0.2755102040816326,,full,,,seed,44
112.0,0.314453125,,full,,,seed,44
128.0,0.3625,,full,,,seed,44
144.0,0.3826530612244898,,full,,,seed,44
160.0,0.45703125,,full,,,seed,44
176.0,0.4078125,,full,,,seed,44
192.0,0.38647959183673464,,full,,,seed,44
208.0,0.48046875,,full,,,seed,44
224.0,0.44375,,full,,,seed,44
240.0,0.3762755102040817,,full,,,seed,44
250.0,0.49375,,full,,,seed,44
266.0,0.390625,,full,,,seed,44
282.0,0.37755102040816324,,full,,,seed,44
298.0,0.5078125,,full,,,seed,44
314.0,0.4203125,,full,,,seed,44
330.0,0.43494897959183676,,full,,,seed,44
346.0,0.466796875,,full,,,seed,44
362.0,0.4125,,full,,,seed,44
378.0,0.43494897959183676,,full,,,seed,44
394.0,0.431640625,,full,,,seed,44
410.0,0.46718750000000003,,full,,,seed,44
426.0,0.4362244897959184,,full,,,seed,44
442.0,0.4375,,full,,,seed,44
458.0,0.39531249999999996,,full,,,seed,44
474.0,0.39030612244897955,,full,,,seed,44
490.0,0.416015625,,full,,,seed,44
500.0,0.44749999999999995,,full,,,seed,44
516.0,0.43239795918367346,,full,,,seed,44
532.0,0.408203125,,full,,,seed,44
548.0,0.4953125,,full,,,seed,44
564.0,0.4362244897959183,,full,,,seed,44
580.0,0.419921875,,full,,,seed,44
596.0,0.515625,,full,,,seed,44
612.0,0.46173469387755106,,full,,,seed,44
628.0,0.43359375,,full,,,seed,44
644.0,0.4875,,full,,,seed,44
660.0,0.44387755102040816,,full,,,seed,44
676.0,0.458984375,,full,,,seed,44
692.0,0.4578125,,full,,,seed,44
708.0,0.43112244897959184,,full,,,seed,44
724.0,0.44140625,,full,,,seed,44
740.0,0.4921875,,full,,,seed,44
756.0,0.423469387755102,,full,,,seed,44
772.0,0.544921875,,full,,,seed,44
788.0,0.440625,,full,,,seed,44
804.0,0.41964285714285715,,full,,,seed,44
820.0,0.45703125,,full,,,seed,44
836.0,0.45625000000000004,,full,,,seed,44
852.0,0.41836734693877553,,full,,,seed,44
868.0,0.45703125,,full,,,seed,44
884.0,0.48749999999999993,,full,,,seed,44
900.0,0.43112244897959184,,full,,,seed,44
916.0,0.466796875,,full,,,seed,44
932.0,0.3640625,,full,,,seed,44
948.0,0.4145408163265306,,full,,,seed,44
964.0,0.50390625,,full,,,seed,44
980.0,0.44218749999999996,,full,,,seed,44
996.0,0.4719387755102041,,full,,,seed,44
1000.0,0.546875,,full,,,seed,44
1016.0,0.45625,,full,,,seed,44
1032.0,0.44260204081632654,,full,,,seed,44
1048.0,0.345703125,,full,,,seed,44
1064.0,0.4625,,full,,,seed,44
1080.0,0.32015306122448983,,full,,,seed,44
