aggregation,grid_id,is_first,model,operational_floor,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,17,1.0,a2c_pointer,0.0,1,64.39388860722023,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,a2c_pointer,0.0,2,68.17671492007916,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,17,0.0,traditional_ppo,0.0,3,53.61591998079109,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,0.0,traditional_ppo,0.0,3,61.54615277700537,0.2,0.1,0.15,0.1,0.15,0.15,0.15
geometric,18,0.0,full,0.0,2,66.73326032871589,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,full,0.0,2,70.76817490475635,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,1.0,a2c_pointer,0.0,1,66.80451337164449,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,1.0,a2c_pointer,0.0,1,70.77178346730254,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,18,0.0,traditional_ppo,0.0,3,57.25238127086648,0.2,0.1,0.15,0.1,0.15,0.2,0.1
arithmetic,18,0.0,traditional_ppo,0.0,3,65.17979264208593,0.2,0.1,0.15,0.1,0.15,0.2,0.1
geometric,19,1.0,full,0.0,1,66.22028717951297,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,1.0,full,0.0,1,70.2003972225967,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,a2c_pointer,0.0,2,66.00680896669206,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,a2c_pointer,0.0,2,69.95977141311297,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,19,0.0,traditional_ppo,0.0,3,52.38833540143687,0.2,0.1,0.15,0.15,0.05,0.15,0.2
arithmetic,19,0.0,traditional_ppo,0.0,3,61.272033256754156,0.2,0.1,0.15,0.15,0.05,0.15,0.2
geometric,20,1.0,full,0.0,1,68.63673836705149,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,1.0,full,0.0,1,72.7532795494734,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,a2c_pointer,0.0,2,68.47781439527067,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,a2c_pointer,0.0,2,72.55483996033637,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,traditional_ppo,0.0,3,55.94153664851169,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,traditional_ppo,0.0,3,64.90567312183475,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,21,1.0,full,0.0,1,64.00796985376866,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,1.0,full,0.0,1,67.73993787693485,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,a2c_pointer,0.0,2,63.85641432473113,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,a2c_pointer,0.0,2,67.54476439983418,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,traditional_ppo,0.0,3,51.2247044324933,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,traditional_ppo,0.0,3,59.472786060903296,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,22,1.0,full,0.0,1,66.34369114633535,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,1.0,full,0.0,1,70.29282020381153,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,a2c_pointer,0.0,2,66.2469184093264,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,a2c_pointer,0.0,2,70.13983294705756,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,traditional_ppo,0.0,3,54.6989832442912,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,traditional_ppo,0.0,3,63.10642592598388,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,23,1.0,full,0.0,1,68.76464548049067,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,1.0,full,0.0,1,72.8457025306882,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,a2c_pointer,0.0,2,68.7269124823417,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,a2c_pointer,0.0,2,72.73490149428095,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,traditional_ppo,0.0,3,58.40890252284896,0.2,0.1,0.15,0.15,0.1,0.2,0.1
