aggregation,model,scenario,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5
geometric,full,balanced_default,real_all,0.5644144351202227,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,full,balanced_default,real_all,0.5961798499420721,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,full,mission_first,real_all,0.5694605685360308,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,full,mission_first,real_all,0.5935144389596787,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,full,safety_first,real_all,0.6097142071215864,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,full,safety_first,real_all,0.6463407550775989,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,full,realtime_first,real_all,0.5673903006942023,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,full,realtime_first,real_all,0.5964022389304994,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,traditional_ppo,balanced_default,real_all,0.44297612603240566,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,traditional_ppo,balanced_default,real_all,0.49421858376306543,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,traditional_ppo,mission_first,real_all,0.3981023903672784,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,traditional_ppo,mission_first,real_all,0.44049902303802846,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,traditional_ppo,safety_first,real_all,0.4969206213658039,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,traditional_ppo,safety_first,real_all,0.5609244805344709,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,traditional_ppo,realtime_first,real_all,0.4783806468689179,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,traditional_ppo,realtime_first,real_all,0.5292669840010186,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,a2c_pointer,balanced_default,real_all,0.5669745096339959,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,a2c_pointer,balanced_default,real_all,0.5989264282721847,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,a2c_pointer,mission_first,real_all,0.5727382803869056,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,a2c_pointer,mission_first,real_all,0.5969960790738179,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,a2c_pointer,safety_first,real_all,0.612222546122629,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,a2c_pointer,safety_first,real_all,0.6488051070103273,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,a2c_pointer,realtime_first,real_all,0.5707462668848974,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,a2c_pointer,realtime_first,real_all,0.5997628700834094,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,nearest_feasible,balanced_default,real_all,0.5214848730999495,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,nearest_feasible,balanced_default,real_all,0.5591437094669249,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,nearest_feasible,mission_first,real_all,0.5288945702930294,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,nearest_feasible,mission_first,real_all,0.556382655091439,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,nearest_feasible,safety_first,real_all,0.5661677445784183,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,nearest_feasible,safety_first,real_all,0.6119933551504212,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,nearest_feasible,realtime_first,real_all,0.4948155416964135,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,nearest_feasible,realtime_first,real_all,0.5372592637524666,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,priority_resource_greedy,balanced_default,real_all,0.5271319521208971,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,priority_resource_greedy,balanced_default,real_all,0.5613913350022417,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,priority_resource_greedy,mission_first,real_all,0.5290296269128262,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,priority_resource_greedy,mission_first,real_all,0.5538123523428207,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,priority_resource_greedy,safety_first,real_all,0.571213409424597,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,priority_resource_greedy,safety_first,real_all,0.6140037296150515,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,priority_resource_greedy,realtime_first,real_all,0.5007556410220322,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,priority_resource_greedy,realtime_first,real_all,0.5400408885007852,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,aco,balanced_default,real_all,0.5275779264915558,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,aco,balanced_default,real_all,0.5905620301649631,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,aco,mission_first,real_all,0.5656236745723175,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,aco,mission_first,real_all,0.6120874154550302,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,aco,safety_first,real_all,0.5669093065010853,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,aco,safety_first,real_all,0.6369637540083197,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,aco,realtime_first,real_all,0.4526525392625073,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,aco,realtime_first,real_all,0.5414156839375175,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,milp,balanced_default,real_all,0.5014405100807134,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
arithmetic,milp,balanced_default,real_all,0.5883997135029863,0.3977272727272727,0.2840909090909091,0.2272727272727273,0.0,0.09090909090909091
geometric,milp,mission_first,real_all,0.5523275774512091,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
arithmetic,milp,mission_first,real_all,0.6161414392425276,0.5555555555555556,0.22222222222222224,0.16666666666666666,0.0,0.05555555555555556
geometric,milp,safety_first,real_all,0.5387992386602277,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
arithmetic,milp,safety_first,real_all,0.6341645742505544,0.3409090909090909,0.2272727272727273,0.3409090909090909,0.0,0.09090909090909091
geometric,milp,realtime_first,real_all,0.3986015897521878,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,milp,realtime_first,real_all,0.5296070479345595,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,full,balanced_default,core_learning_complete,0.592220710590348,0.35,0.25,0.2,0.12,0.08
arithmetic,full,balanced_default,core_learning_complete,0.6301809186962345,0.35,0.25,0.2,0.12,0.08
geometric,full,mission_first,core_learning_complete,0.5896219436799985,0.5,0.2,0.15,0.1,0.05
arithmetic,full,mission_first,core_learning_complete,0.6194844927476892,0.5,0.2,0.15,0.1,0.05
geometric,full,safety_first,core_learning_complete,0.635378129176375,0.3,0.2,0.3,0.12,0.08
arithmetic,full,safety_first,core_learning_complete,0.6756579568133481,0.3,0.2,0.3,0.12,0.08
geometric,full,realtime_first,core_learning_complete,0.5909361307529416,0.3,0.2,0.2,0.1,0.2
arithmetic,full,realtime_first,core_learning_complete,0.6252935355386314,0.3,0.2,0.2,0.1,0.2
geometric,traditional_ppo,balanced_default,core_learning_complete,0.482629187889199,0.35,0.25,0.2,0.12,0.08
arithmetic,traditional_ppo,balanced_default,core_learning_complete,0.5471438918652594,0.35,0.25,0.2,0.12,0.08
geometric,traditional_ppo,mission_first,core_learning_complete,0.4322502553446521,0.5,0.2,0.15,0.1,0.05
arithmetic,traditional_ppo,mission_first,core_learning_complete,0.48994312578702437,0.5,0.2,0.15,0.1,0.05
geometric,traditional_ppo,safety_first,core_learning_complete,0.5349485389748813,0.3,0.2,0.3,0.12,0.08
arithmetic,traditional_ppo,safety_first,core_learning_complete,0.6067203782833652,0.3,0.2,0.3,0.12,0.08
geometric,traditional_ppo,realtime_first,core_learning_complete,0.5108275157733967,0.3,0.2,0.2,0.1,0.2
arithmetic,traditional_ppo,realtime_first,core_learning_complete,0.5710174666725243,0.3,0.2,0.2,0.1,0.2
geometric,a2c_pointer,balanced_default,core_learning_complete,0.5942147607092617,0.35,0.25,0.2,0.12,0.08
arithmetic,a2c_pointer,balanced_default,core_learning_complete,0.6313670452606286,0.35,0.25,0.2,0.12,0.08
geometric,a2c_pointer,mission_first,core_learning_complete,0.592374676340833,0.5,0.2,0.15,0.1,0.05
arithmetic,a2c_pointer,mission_first,core_learning_complete,0.6215804608083273,0.5,0.2,0.15,0.1,0.05
geometric,a2c_pointer,safety_first,core_learning_complete,0.6371626322167212,0.3,0.2,0.3,0.12,0.08
arithmetic,a2c_pointer,safety_first,core_learning_complete,0.6765384529378211,0.3,0.2,0.3,0.12,0.08
geometric,a2c_pointer,realtime_first,core_learning_complete,0.5939457962963147,0.3,0.2,0.2,0.1,0.2
arithmetic,a2c_pointer,realtime_first,core_learning_complete,0.6274545490117567,0.3,0.2,0.2,0.1,0.2
