condition,family,map_id,model,perturbed_safe_rate,perturbed_safe_weighted_coverage,repeat_count,retention
dem_error,hidden_model_perception_mismatch,cn_qinling,no_domain_randomization,1.0,0.4350340136054422,15,0.9833333333333333
localization,hidden_model_perception_mismatch,cn_qinling,no_domain_randomization,0.6666666666666666,0.2502551020408163,15,0.8
power_model,hidden_model_perception_mismatch,cn_qinling,no_domain_randomization,0.6,0.25336734693877555,15,0.8058333333333333
wind,hidden_model_perception_mismatch,cn_qinling,no_domain_randomization,0.6,0.28564625850340136,15,0.8381122448979592
power_model,known_domain_shift,cn_qinling,no_domain_randomization,1.0,0.4250340136054422,15,0.9775
wind,known_domain_shift,cn_qinling,no_domain_randomization,1.0,0.44836734693877556,15,0.9966666666666667
dem_error,hidden_model_perception_mismatch,cn_taihang,no_domain_randomization,1.0,0.506062925170068,15,0.9933333333333333
localization,hidden_model_perception_mismatch,cn_taihang,no_domain_randomization,1.0,0.4850085034013605,15,0.9883333333333333
power_model,hidden_model_perception_mismatch,cn_taihang,no_domain_randomization,0.6666666666666666,0.2636479591836734,15,0.7683333333333333
wind,hidden_model_perception_mismatch,cn_taihang,no_domain_randomization,0.8666666666666667,0.39531462585034016,15,0.9
power_model,known_domain_shift,cn_taihang,no_domain_randomization,1.0,0.481062925170068,15,0.98
wind,known_domain_shift,cn_taihang,no_domain_randomization,1.0,0.4764030612244897,15,0.9810884353741497
dem_error,hidden_model_perception_mismatch,global_alps,no_domain_randomization,1.0,0.4494982993197279,15,0.9918367346938776
localization,hidden_model_perception_mismatch,global_alps,no_domain_randomization,1.0,0.44344387755102044,15,0.9830612244897959
power_model,hidden_model_perception_mismatch,global_alps,no_domain_randomization,1.0,0.4576615646258503,15,1.0
wind,hidden_model_perception_mismatch,global_alps,no_domain_randomization,1.0,0.4576615646258503,15,1.0
power_model,known_domain_shift,global_alps,no_domain_randomization,1.0,0.4576615646258503,15,1.0
wind,known_domain_shift,global_alps,no_domain_randomization,1.0,0.45766156462585034,15,0.9931972789115646
dem_error,hidden_model_perception_mismatch,global_colorado_rockies,no_domain_randomization,1.0,0.711845238095238,15,0.9788350340136054
localization,hidden_model_perception_mismatch,global_colorado_rockies,no_domain_randomization,0.8,0.6000850340136055,15,0.8657142857142857
power_model,hidden_model_perception_mismatch,global_colorado_rockies,no_domain_randomization,0.6666666666666666,0.5130102040816327,15,0.78
wind,hidden_model_perception_mismatch,global_colorado_rockies,no_domain_randomization,0.8,0.6013435374149659,15,0.8683333333333333
power_model,known_domain_shift,global_colorado_rockies,no_domain_randomization,1.0,0.7046768707482992,15,0.9716666666666667
wind,known_domain_shift,global_colorado_rockies,no_domain_randomization,1.0,0.6988180272108842,15,0.9658078231292517
dem_error,hidden_model_perception_mismatch,global_peruvian_andes,no_domain_randomization,0.9333333333333333,0.42878401360544227,15,0.9714285714285714
