domain,model,map_id,safe_weighted_coverage,weighted_coverage,safe_rate,return_rate,planning_time_s
未见合成,no_priority_bias,synthetic_test__map_012,0.4853684807,0.4853684807,1,1,1.157876647
未见合成,no_priority_bias,synthetic_test__map_013,0.5008786848,0.5008786848,1,1,1.103506644
未见合成,no_priority_bias,synthetic_test__map_014,0.455297619,0.455297619,1,1,0.99709434
未见合成,no_priority_bias,synthetic_test__map_015,0.458579932,0.458579932,1,1,1.275487011
未见合成,no_priority_bias,synthetic_test__map_016,0.5039058957,0.5039058957,1,1,1.211626929
未见合成,no_priority_bias,synthetic_test__map_017,0.4848809524,0.4848809524,1,1,1.314080989
未见合成,no_priority_bias,synthetic_test__map_018,0.494526644,0.494526644,1,1,1.106491262
未见合成,no_priority_bias,synthetic_test__map_019,0.4586989796,0.4586989796,1,1,1.256756104
未见合成,no_priority_bias,synthetic_test__map_020,0.518100907,0.518100907,1,1,1.21369606
未见合成,no_priority_bias,synthetic_test__map_021,0.4747534014,0.4747534014,1,1,1.147455216
未见合成,no_priority_bias,synthetic_test__map_022,0.4705357143,0.4705357143,1,1,0.9995462133
未见合成,no_priority_bias,synthetic_test__map_023,0.5234240363,0.5234240363,1,1,1.454105313
未见合成,no_resource_shaping,synthetic_test__map_000,0.5021003401,0.5021003401,1,1,1.1880851
未见合成,no_resource_shaping,synthetic_test__map_001,0.43861678,0.43861678,1,1,1.031816207
未见合成,no_resource_shaping,synthetic_test__map_002,0.5192318594,0.5192318594,1,1,1.187378793
未见合成,no_resource_shaping,synthetic_test__map_003,0.4714314059,0.4714314059,1,1,1.337327451
未见合成,no_resource_shaping,synthetic_test__map_004,0.5039342404,0.5039342404,1,1,1.200522556
未见合成,no_resource_shaping,synthetic_test__map_005,0.5148752834,0.5148752834,1,1,1.1674631
未见合成,no_resource_shaping,synthetic_test__map_006,0.5042828798,0.5042828798,1,1,1.124050911
未见合成,no_resource_shaping,synthetic_test__map_007,0.452244898,0.452244898,1,1,1.333028578
未见合成,no_resource_shaping,synthetic_test__map_008,0.4766666667,0.4766666667,1,1,1.187747176
未见合成,no_resource_shaping,synthetic_test__map_009,0.4715873016,0.4715873016,1,1,1.276521451
未见合成,no_resource_shaping,synthetic_test__map_010,0.4793112245,0.4793112245,1,1,1.138521644
未见合成,no_resource_shaping,synthetic_test__map_011,0.4706689342,0.4706689342,1,1,1.383908842
未见合成,no_resource_shaping,synthetic_test__map_012,0.4873412698,0.4873412698,1,1,1.152483156
未见合成,no_resource_shaping,synthetic_test__map_013,0.4816780045,0.4816780045,1,1,1.066145204
未见合成,no_resource_shaping,synthetic_test__map_014,0.460649093,0.460649093,1,1,0.9329762089
未见合成,no_resource_shaping,synthetic_test__map_015,0.4694387755,0.4694387755,1,1,1.169120687
未见合成,no_resource_shaping,synthetic_test__map_016,0.491037415,0.491037415,1,1,1.119328238
未见合成,no_resource_shaping,synthetic_test__map_017,0.47625,0.47625,1,1,1.246572451
