algorithm,factor,level,mean,median,role,run_count,statistical_family
a2c_pointer,priority_layout,clustered,0.4374642857,0.4285714286,exploratory,50,known_domain_shift
no_domain_randomization,priority_layout,clustered,0.4379642857,0.4285714286,exploratory,50,known_domain_shift
full,priority_layout,dispersed,0.4574709467,0.4375,exploratory,180,hidden_model_perception_mismatch
traditional_ppo,priority_layout,dispersed,0.2175531463,0.225,exploratory,180,hidden_model_perception_mismatch
a2c_pointer,priority_layout,dispersed,0.4274914966,0.4375,exploratory,180,hidden_model_perception_mismatch
no_domain_randomization,priority_layout,dispersed,0.4527338435,0.475,exploratory,180,hidden_model_perception_mismatch
no_return_reserve,priority_layout,dispersed,0.1353266723,0.1020408163,exploratory,180,hidden_model_perception_mismatch
full,priority_layout,far_high_conflict,0.4257519133,0.475,exploratory,200,hidden_model_perception_mismatch
traditional_ppo,priority_layout,far_high_conflict,0.240380102,0.28125,exploratory,200,hidden_model_perception_mismatch
a2c_pointer,priority_layout,far_high_conflict,0.4248915816,0.4875,exploratory,200,hidden_model_perception_mismatch
no_domain_randomization,priority_layout,far_high_conflict,0.4227729592,0.475,exploratory,200,hidden_model_perception_mismatch
no_return_reserve,priority_layout,far_high_conflict,0.1025701531,0.0625,exploratory,200,hidden_model_perception_mismatch
full,priority_layout,clustered,0.3865267857,0.403125,exploratory,100,hidden_model_perception_mismatch
traditional_ppo,priority_layout,clustered,0.2347678571,0.225,exploratory,100,hidden_model_perception_mismatch
a2c_pointer,priority_layout,clustered,0.3874642857,0.4285714286,exploratory,100,hidden_model_perception_mismatch
no_domain_randomization,priority_layout,clustered,0.3962142857,0.40625,exploratory,100,hidden_model_perception_mismatch
no_return_reserve,priority_layout,clustered,0.08912244898,0.09375,exploratory,100,hidden_model_perception_mismatch
