aggregation,grid_id,is_first,model,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,11,0.0,a2c_pointer,2,72.0258290736824,0.2,0.1,0.15,0.05,0.15,0.15,0.2
geometric,12,1.0,full,1,70.07737792483435,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,1.0,full,1,73.74657577521717,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,traditional_ppo,3,56.793754663933214,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,12,0.0,a2c_pointer,2,69.10586717701153,0.2,0.1,0.15,0.05,0.15,0.2,0.15
arithmetic,12,0.0,a2c_pointer,2,72.31898490898094,0.2,0.1,0.15,0.05,0.15,0.2,0.15
geometric,13,1.0,full,1,73.86850397082031,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,1.0,full,1,77.27207459520989,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,traditional_ppo,3,54.78073441379156,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,13,0.0,a2c_pointer,2,72.36612744199309,0.2,0.1,0.15,0.1,0.05,0.2,0.2
arithmetic,13,0.0,a2c_pointer,2,75.34510179372502,0.2,0.1,0.15,0.1,0.05,0.2,0.2
geometric,14,1.0,full,1,71.51982083774664,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,1.0,full,1,74.97524148753439,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,traditional_ppo,3,53.12550453265699,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,14,0.0,a2c_pointer,2,70.27095519225809,0.2,0.1,0.15,0.1,0.1,0.15,0.2
arithmetic,14,0.0,a2c_pointer,2,73.28951224927265,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,15,1.0,full,1,71.71660900829193,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,1.0,full,1,75.23326644928608,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,traditional_ppo,3,0.0,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,traditional_ppo,3,57.953328168615734,0.2,0.1,0.15,0.1,0.1,0.2,0.15
