aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,14,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5971176010777566,0.2,0.1,0.15,0.1,0.1,0.15,0.2
geometric,15,1.0,full,1,core_learning_training_corrected_v6,0.6660913173560835,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,1.0,full,1,core_learning_training_corrected_v6,0.7067575192354155,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6656238294722213,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.7059172193335796,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,15,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5483387029615638,0.2,0.1,0.15,0.1,0.1,0.2,0.15
arithmetic,15,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.6334539997285624,0.2,0.1,0.15,0.1,0.1,0.2,0.15
geometric,16,1.0,full,1,core_learning_training_corrected_v6,0.6211710226261552,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,1.0,full,1,core_learning_training_corrected_v6,0.65662410251003,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6207025065643428,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,a2c_pointer,2,core_learning_training_corrected_v6,0.6558164637285577,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,16,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.502104333754481,0.2,0.1,0.15,0.1,0.15,0.1,0.2
arithmetic,16,0.0,traditional_ppo,3,core_learning_training_corrected_v6,0.5791251291192479,0.2,0.1,0.15,0.1,0.15,0.1,0.2
geometric,17,0.0,full,2,core_learning_training_corrected_v6,0.6438382371494091,0.2,0.1,0.15,0.1,0.15,0.15,0.15
arithmetic,17,1.0,full,1,core_learning_training_corrected_v6,0.6821529257787968,0.2,0.1,0.15,0.1,0.15,0.15,0.15
