environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
14701,1884.0,,a2c_pointer,,,seed,0.5004369803476943,45
15720,2000.0,,a2c_pointer,,,seed,0.49567035147392285,45
16009,2032.0,,a2c_pointer,,,seed,0.4953231292517006,45
17490,2192.0,,a2c_pointer,,,seed,0.4984280517762659,45
18932,2352.0,,a2c_pointer,,,seed,0.49764857331821616,45
20290,2500.0,,a2c_pointer,,,seed,0.497987528344671,45
21784,2660.0,,a2c_pointer,,,seed,0.49878590325018884,45
23107,2820.0,,a2c_pointer,,,seed,0.4877432917611487,45
24485,2980.0,,a2c_pointer,,,seed,0.5014054232804231,45
24665,3000.0,,a2c_pointer,,,seed,0.5014054232804231,45
78,16.0,,a2c_pointer,,,seed,0.39026360544217686,46
902,160.0,,a2c_pointer,,,seed,0.43598237906273635,46
1491,250.0,,a2c_pointer,,,seed,0.44657501889644746,46
1902,314.0,,a2c_pointer,,,seed,0.4484457671957672,46
2953,474.0,,a2c_pointer,,,seed,0.45270101095993953,46
3121,500.0,,a2c_pointer,,,seed,0.45451034580498867,46
4055,628.0,,a2c_pointer,,,seed,0.4608666383219955,46
5314,788.0,,a2c_pointer,,,seed,0.4793650793650793,46
6651,948.0,,a2c_pointer,,,seed,0.48398644179894185,46
7043,1000.0,,a2c_pointer,,,seed,0.4879015495086924,46
7867,1096.0,,a2c_pointer,,,seed,0.48891959561602427,46
9297,1256.0,,a2c_pointer,,,seed,0.495357379062736,46
10699,1416.0,,a2c_pointer,,,seed,0.4945554610733182,46
11456,1500.0,,a2c_pointer,,,seed,0.49836663832199535,46
12001,1564.0,,a2c_pointer,,,seed,0.4995854591836733,46
13394,1724.0,,a2c_pointer,,,seed,0.48787084278155707,46
14751,1884.0,,a2c_pointer,,,seed,0.491183626228269,46
15761,2000.0,,a2c_pointer,,,seed,0.5011668556311412,46
16069,2032.0,,a2c_pointer,,,seed,0.5014136904761904,46
17505,2192.0,,a2c_pointer,,,seed,0.49530305177626605,46
