record_type,model,training_seed,episodes_seen,mean_weighted_coverage,median,q25,q75,source_path,source_sha256
seed,full,42,1288,0.447265625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1304,0.4125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1320,0.432397959183673,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1336,0.453125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1352,0.471875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1368,0.469387755102041,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1384,0.4765625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1400,0.4421875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1416,0.383928571428571,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1432,0.435546875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1448,0.4640625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1464,0.482142857142857,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1480,0.49609375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1496,0.4671875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1500,0.448979591836735,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1516,0.51953125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1532,0.3953125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1548,0.411989795918367,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1564,0.431640625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1580,0.4796875,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1596,0.431122448979592,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1612,0.51953125,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1628,0.490625,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1644,0.389030612244898,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1660,0.5234375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1676,0.4609375,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
seed,full,42,1692,0.477040816326531,,,,paper_runs/multimap_v3_1/formal_training/formal_full_seed42_3000ep/training_metrics.jsonl,e62401924ecbbdc68af1cf978825a8d45f7bf20d18c9315faa95d3c4867e9075
