algorithm,map_id,safe_weighted_coverage,statistical_family
priority_resource_greedy,synthetic_test__map_012,0.4658163265306123,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_013,0.4531320861678004,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_014,0.4411848072562359,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_015,0.2893707482993197,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_016,0.4652636054421769,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_017,0.4521541950113379,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_018,0.45821995464852605,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_019,0.4147108843537415,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_020,0.486139455782313,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_021,0.49400510204081627,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_022,0.46697845804988664,synthetic_main_algorithms
priority_resource_greedy,synthetic_test__map_023,0.5083616780045352,synthetic_main_algorithms
aco,synthetic_test__map_000,0.5362074829931973,synthetic_main_algorithms
aco,synthetic_test__map_001,0.5232369614512471,synthetic_main_algorithms
aco,synthetic_test__map_002,0.5771258503401361,synthetic_main_algorithms
aco,synthetic_test__map_003,0.5331689342403627,synthetic_main_algorithms
aco,synthetic_test__map_004,0.5504081632653061,synthetic_main_algorithms
aco,synthetic_test__map_005,0.5613321995464852,synthetic_main_algorithms
aco,synthetic_test__map_006,0.5680187074829932,synthetic_main_algorithms
aco,synthetic_test__map_007,0.5656774376417233,synthetic_main_algorithms
aco,synthetic_test__map_008,0.523985260770975,synthetic_main_algorithms
aco,synthetic_test__map_009,0.5759410430839003,synthetic_main_algorithms
aco,synthetic_test__map_010,0.5528543083900226,synthetic_main_algorithms
aco,synthetic_test__map_011,0.5563690476190476,synthetic_main_algorithms
aco,synthetic_test__map_012,0.5202636054421769,synthetic_main_algorithms
aco,synthetic_test__map_013,0.5395323129251701,synthetic_main_algorithms
aco,synthetic_test__map_014,0.5372930839002268,synthetic_main_algorithms
aco,synthetic_test__map_015,0.5273072562358276,synthetic_main_algorithms
aco,synthetic_test__map_016,0.5521315192743764,synthetic_main_algorithms
aco,synthetic_test__map_017,0.5800821995464853,synthetic_main_algorithms
aco,synthetic_test__map_018,0.5556774376417234,synthetic_main_algorithms
aco,synthetic_test__map_019,0.564594671201814,synthetic_main_algorithms
aco,synthetic_test__map_020,0.5620209750566894,synthetic_main_algorithms
aco,synthetic_test__map_021,0.5439880952380952,synthetic_main_algorithms
aco,synthetic_test__map_022,0.5776105442176871,synthetic_main_algorithms
aco,synthetic_test__map_023,0.5752891156462585,synthetic_main_algorithms
ga,synthetic_test__map_000,0.5015362811791383,synthetic_main_algorithms
