algorithm,mean,median,metric,q25,q75,result_family,valid_run_count
no_domain_randomization,8.906481481481482,9.0,visited_count,6.0,11.0,synthetic_learning,1080
no_domain_randomization,0.479104938271605,0.5,high_priority_coverage,0.25,0.6666666666666666,synthetic_learning,1080
no_domain_randomization,0.5887860082304527,0.625,medium_priority_coverage,0.375,0.7777777777777778,synthetic_learning,1080
no_domain_randomization,0.2341005291005291,0.2,low_priority_coverage,0.0,0.4,synthetic_learning,1080
no_domain_randomization,0.8202231567917488,0.8333333333333335,oracle_attainment_lower,0.7483974358974358,0.9090909090909091,synthetic_learning,1080
no_domain_randomization,0.8518695384225914,0.875,oracle_attainment_upper,0.7834900117508813,0.9333333333333332,synthetic_learning,1080
no_domain_randomization,0.08432693216175359,0.07499999999999996,oracle_regret_lower,0.03125,0.125,synthetic_learning,1080
no_domain_randomization,0.10708191609977304,0.09375000000000022,oracle_regret_upper,0.050000000000000044,0.15000000000000002,synthetic_learning,1080
no_domain_randomization,0.6514715128590916,0.6046096489430899,safe_energy_utilization,0.42035479278369003,0.9289016533226891,synthetic_learning,1080
no_domain_randomization,0.7703800560171589,0.8459924271509363,safe_distance_utilization,0.6005642648216281,0.9496892175732687,synthetic_learning,1080
no_domain_randomization,0.5695066835064576,0.44912415494751146,safe_time_utilization,0.2694333525577557,0.9268075060400228,synthetic_learning,1080
no_domain_randomization,0.0,0.0,dangerous_action_proposal_rate,0.0,0.0,synthetic_learning,1080
no_domain_randomization,0.0,0.0,environment_interception_rate,0.0,0.0,synthetic_learning,1080
no_domain_randomization,1.2232187451851855,1.125471750000031,planning_time_s,0.810395275000019,1.548448374999964,synthetic_learning,1080
no_resource_shaping,0.48402919501133795,0.475,safe_weighted_coverage,0.3469387755102041,0.6122448979591837,synthetic_learning,1080
no_resource_shaping,1.0,1.0,safe_rate,1.0,1.0,synthetic_learning,1080
no_resource_shaping,1.0,1.0,return_rate,1.0,1.0,synthetic_learning,1080
no_resource_shaping,0.0,0.0,violation_rate,0.0,0.0,synthetic_learning,1080
no_resource_shaping,0.0,0.0,stranded_rate,0.0,0.0,synthetic_learning,1080
no_resource_shaping,0.4353433641975309,0.4375,coverage,0.3125,0.5416666666666666,synthetic_learning,1080
no_resource_shaping,0.48402919501133795,0.475,weighted_coverage,0.3469387755102041,0.6122448979591837,synthetic_learning,1080
no_resource_shaping,8.66388888888889,8.0,visited_count,6.0,11.0,synthetic_learning,1080
no_resource_shaping,0.500216049382716,0.5,high_priority_coverage,0.25,0.75,synthetic_learning,1080
no_resource_shaping,0.5834619341563786,0.625,medium_priority_coverage,0.4444444444444444,0.75,synthetic_learning,1080
