task_id,map_id,model,seed,task_hash,map_hash,vertical_exaggeration,element_type,element_id,sequence,raw_x_grid,raw_y_grid,raw_z_m,display_x_m,display_y_m,display_z_m,priority,visited,note
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,2,240.66035461425781,110.92691802978516,561.73541259765625,2907.8075408935547,760.18936157226562,582.60311889648438,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,3,240.66035461425781,110.92691802978516,560.69287109375,2907.8075408935547,760.18936157226562,581.039306640625,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,4,248.38969421386719,118.91461181640625,560.69287109375,3147.4383544921875,528.30917358398438,581.039306640625,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,5,248.38969421386719,118.91461181640625,557.5020751953125,3147.4383544921875,528.30917358398438,576.25311279296875,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,6,248.38969421386719,118.91461181640625,563.3525390625,3147.4383544921875,528.30917358398438,585.02880859375,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,7,250.54200744628906,127.62592315673828,563.3525390625,3408.7776947021484,463.73977661132812,585.02880859375,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,8,250.54200744628906,127.62592315673828,573.51947021484375,3408.7776947021484,463.73977661132812,600.27920532226562,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,9,265.99899291992188,144.46173095703125,573.51947021484375,3913.8519287109375,0.03021240234375,600.27920532226562,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,10,265.99899291992188,144.46173095703125,565.9298095703125,3913.8519287109375,0.03021240234375,588.89471435546875,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,11,265.99899291992188,144.46173095703125,570.07904052734375,3913.8519287109375,0.03021240234375,595.11856079101562,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,12,253.45579528808594,154.05165100097656,570.07904052734375,4201.5495300292969,376.32614135742188,595.11856079101562,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,13,253.45579528808594,154.05165100097656,568.75775146484375,4201.5495300292969,376.32614135742188,593.13662719726562,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,14,253.45579528808594,154.05165100097656,571.98101806640625,4201.5495300292969,376.32614135742188,597.97152709960938,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,15,247.94186401367188,161.13386535644531,571.98101806640625,4414.0159606933594,541.74407958984375,597.97152709960938,,,正式结果原始flight_path；仅显示z使用1.5倍比例
real_test__cn_taihang__road_00__task_08,cn_taihang,full,42,882fced2679a3d4795cb31c736f65c2b8d8d894b8564d2b25960329969ea2a71,727201fbb5cf39471bae328e85c1c5d9eaa3069df13d93048e713bd81b1de903,1.5,flight_path,ppo_pointer,16,247.94186401367188,161.13386535644531,568.70123291015625,4414.0159606933594,541.74407958984375,593.05184936523438,,,正式结果原始flight_path；仅显示z使用1.5倍比例
