aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,21,1.0,full,1,core_learning_training_aware,0.7718537876791463,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,traditional_ppo,3,core_learning_training_aware,0.4725955598656315,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,traditional_ppo,3,core_learning_training_aware,0.5763123147594236,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,a2c_pointer,2,core_learning_training_aware,0.7300346946496965,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,a2c_pointer,2,core_learning_training_aware,0.7664523061971676,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,22,1.0,full,1,core_learning_training_aware,0.7337894794292743,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,1.0,full,1,core_learning_training_aware,0.772885887526153,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,traditional_ppo,3,core_learning_training_aware,0.5145991609936201,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,traditional_ppo,3,core_learning_training_aware,0.6166419274282586,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,a2c_pointer,2,core_learning_training_aware,0.7309285289253402,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,a2c_pointer,2,core_learning_training_aware,0.7676249295383618,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,23,1.0,full,1,core_learning_training_aware,0.734566115239702,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,1.0,full,1,core_learning_training_aware,0.7739179873731594,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,traditional_ppo,3,core_learning_training_aware,0.5603359806652212,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,traditional_ppo,3,core_learning_training_aware,0.6569715400970935,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,23,0.0,a2c_pointer,2,core_learning_training_aware,0.7318234575869331,0.2,0.1,0.15,0.15,0.1,0.2,0.1
arithmetic,23,0.0,a2c_pointer,2,core_learning_training_aware,0.7687975528795556,0.2,0.1,0.15,0.15,0.1,0.2,0.1
geometric,24,1.0,full,1,core_learning_training_aware,0.7089454821187942,0.2,0.1,0.15,0.15,0.15,0.05,0.2
arithmetic,24,1.0,full,1,core_learning_training_aware,0.7478379416854012,0.2,0.1,0.15,0.15,0.15,0.05,0.2
geometric,24,0.0,traditional_ppo,3,core_learning_training_aware,0.46228844690473386,0.2,0.1,0.15,0.15,0.15,0.05,0.2
