aggregation,grid_id,is_first,model,operational_floor,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
geometric,20,0.0,traditional_ppo,0.0,3,52.60725856864883,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,traditional_ppo,0.0,3,63.42272844238519,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,20,0.0,a2c_pointer,0.0,2,75.45055835006004,0.2,0.1,0.15,0.15,0.05,0.2,0.15
arithmetic,20,0.0,a2c_pointer,0.0,2,79.04237352835943,0.2,0.1,0.15,0.15,0.05,0.2,0.15
geometric,21,1.0,full,0.0,1,73.30136647337464,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,1.0,full,0.0,1,77.18537876791463,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,traditional_ppo,0.0,3,47.25955598656315,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,traditional_ppo,0.0,3,57.63123147594236,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,21,0.0,a2c_pointer,0.0,2,73.00346946496965,0.2,0.1,0.15,0.15,0.1,0.1,0.2
arithmetic,21,0.0,a2c_pointer,0.0,2,76.64523061971677,0.2,0.1,0.15,0.15,0.1,0.1,0.2
geometric,22,1.0,full,0.0,1,73.37894794292743,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,1.0,full,0.0,1,77.2885887526153,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,traditional_ppo,0.0,3,51.45991609936201,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,traditional_ppo,0.0,3,61.66419274282586,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,22,0.0,a2c_pointer,0.0,2,73.09285289253403,0.2,0.1,0.15,0.15,0.1,0.15,0.15
arithmetic,22,0.0,a2c_pointer,0.0,2,76.76249295383619,0.2,0.1,0.15,0.15,0.1,0.15,0.15
geometric,23,1.0,full,0.0,1,73.45661152397021,0.2,0.1,0.15,0.15,0.1,0.2,0.1
