model,planning_time_s,ecdf
aco,18.27918856,0.0194444444444
aco,19.40015756,0.0222222222222
aco,19.86563382,0.025
aco,19.9765872,0.0277777777778
aco,20.36143388,0.0305555555556
aco,20.96776028,0.0333333333333
aco,21.313849,0.0361111111111
aco,21.43098186,0.0388888888889
aco,21.63925656,0.0416666666667
aco,21.81746068,0.0444444444444
aco,21.91294064,0.0472222222222
aco,22.35084682,0.05
aco,22.35692798,0.0527777777778
aco,22.5843551,0.0555555555556
aco,22.72001902,0.0583333333333
aco,22.78716186,0.0611111111111
aco,24.05438716,0.0638888888889
aco,24.3210238,0.0666666666667
aco,24.35010634,0.0694444444444
aco,24.504021,0.0722222222222
aco,24.54007012,0.075
aco,24.55470424,0.0777777777778
aco,25.2533349,0.0805555555556
aco,25.26352362,0.0833333333333
aco,25.40376222,0.0861111111111
aco,25.51326228,0.0888888888889
aco,25.8986658,0.0916666666667
aco,25.95419142,0.0944444444444
aco,26.2707827,0.0972222222222
aco,26.32290994,0.1
aco,26.39552768,0.102777777778
aco,26.63102056,0.105555555556
aco,27.12769432,0.108333333333
aco,27.2747064,0.111111111111
aco,28.37032266,0.113888888889
aco,28.63942808,0.116666666667
aco,29.01968766,0.119444444444
aco,29.05237328,0.122222222222
aco,29.09680166,0.125
aco,29.42481286,0.127777777778
aco,29.4973081,0.130555555556
aco,29.57994374,0.133333333333
aco,29.73816052,0.136111111111
aco,30.200629,0.138888888889
aco,30.69377464,0.141666666667
aco,30.94830098,0.144444444444
aco,31.3067529,0.147222222222
aco,31.32820854,0.15
aco,31.33578886,0.152777777778
aco,31.33829512,0.155555555556
aco,31.39440206,0.158333333333
aco,31.482723,0.161111111111
aco,32.34090942,0.163888888889
aco,32.64670438,0.166666666667
aco,32.66757506,0.169444444444
aco,32.91383816,0.172222222222
aco,33.00092924,0.175
aco,33.13327376,0.177777777778
aco,33.39817846,0.180555555556
aco,33.5172282,0.183333333333
aco,33.55566494,0.186111111111
aco,33.60542734,0.188888888889
aco,33.72561978,0.191666666667
aco,33.89854504,0.194444444444
aco,34.03737014,0.197222222222
aco,34.32186324,0.2
aco,34.39081694,0.202777777778
aco,34.48285586,0.205555555556
aco,34.9366264,0.208333333333
aco,35.43095064,0.211111111111
aco,35.51557518,0.213888888889
aco,35.54514054,0.216666666667
aco,35.88044376,0.219444444444
aco,35.96043264,0.222222222222
aco,36.065586,0.225
aco,36.31989686,0.227777777778
aco,36.39143188,0.230555555556
aco,36.45262052,0.233333333333
aco,36.47498172,0.236111111111
aco,36.47778118,0.238888888889
aco,36.51825012,0.241666666667
aco,36.66178258,0.244444444444
aco,36.68409736,0.247222222222
aco,36.75392866,0.25
aco,37.09191156,0.252777777778
aco,37.4587694,0.255555555556
aco,37.49879888,0.258333333333
aco,37.55918728,0.261111111111
aco,38.25650916,0.263888888889
aco,39.03563634,0.266666666667
aco,39.0398959,0.269444444444
aco,39.52311194,0.272222222222
aco,39.5794003,0.275
aco,39.72327188,0.277777777778
aco,39.87865798,0.280555555556
aco,39.95825848,0.283333333333
aco,40.20094082,0.286111111111
aco,40.54209592,0.288888888889
aco,40.62680578,0.291666666667
aco,40.83835568,0.294444444444
aco,41.0663856,0.297222222222
aco,41.53343852,0.3
aco,41.56722704,0.302777777778
aco,41.68507792,0.305555555556
aco,41.69869804,0.308333333333
aco,42.0930435,0.311111111111
aco,42.2798914,0.313888888889
aco,42.39815294,0.316666666667
aco,42.43553002,0.319444444444
aco,42.685267,0.322222222222
aco,42.71475578,0.325
aco,42.87789062,0.327777777778
aco,42.96022964,0.330555555556
aco,43.03495106,0.333333333333
aco,43.19980862,0.336111111111
aco,43.19986334,0.338888888889
aco,43.4712788,0.341666666667
aco,43.79284914,0.344444444444
aco,44.08076456,0.347222222222
aco,44.24931776,0.35
aco,44.32323484,0.352777777778
aco,44.45350442,0.355555555556
aco,44.67723232,0.358333333333
aco,44.73940834,0.361111111111
aco,45.058751,0.363888888889
aco,45.28513332,0.366666666667
aco,45.54432228,0.369444444444
aco,45.57031586,0.372222222222
aco,45.869183,0.375
aco,45.8935752,0.377777777778
aco,45.95992072,0.380555555556
aco,46.12448414,0.383333333333
aco,46.20993544,0.386111111111
aco,46.22518112,0.388888888889
aco,46.26324342,0.391666666667
aco,46.66842398,0.394444444444
aco,47.02040962,0.397222222222
aco,47.0402719,0.4
aco,47.17457328,0.402777777778
aco,47.28473104,0.405555555556
aco,47.29302636,0.408333333333
aco,48.03368762,0.411111111111
aco,48.1890437,0.413888888889
aco,48.21706534,0.416666666667
aco,48.56537006,0.419444444444
aco,48.61406178,0.422222222222
aco,48.69194732,0.425
aco,48.84792606,0.427777777778
aco,49.0860643,0.430555555556
aco,49.3398505,0.433333333333
aco,49.45544682,0.436111111111
aco,49.74967554,0.438888888889
aco,49.94030856,0.441666666667
aco,50.00938592,0.444444444444
aco,50.1106941,0.447222222222
aco,50.42194844,0.45
aco,50.89770054,0.452777777778
aco,51.13375162,0.455555555556
aco,51.82645548,0.458333333333
aco,52.11635522,0.461111111111
aco,52.69837954,0.463888888889
aco,52.7103068,0.466666666667
aco,52.92055102,0.469444444444
aco,53.31233452,0.472222222222
aco,54.06674406,0.475
aco,54.95631602,0.477777777778
aco,55.21125576,0.480555555556
aco,55.22803794,0.483333333333
aco,55.31560094,0.486111111111
aco,55.37717708,0.488888888889
aco,55.8922504,0.491666666667
aco,56.10015074,0.494444444444
aco,56.29528476,0.497222222222
aco,56.42914594,0.5
aco,56.63556452,0.502777777778
aco,56.97500834,0.505555555556
aco,56.98346032,0.508333333333
aco,57.06405958,0.511111111111
aco,57.42695066,0.513888888889
aco,57.5825815,0.516666666667
aco,57.69432484,0.519444444444
aco,57.81798016,0.522222222222
aco,58.39517836,0.525
aco,58.44337594,0.527777777778
aco,58.4955919,0.530555555556
aco,58.5038153,0.533333333333
aco,58.54886394,0.536111111111
aco,58.90901698,0.538888888889
aco,59.35869388,0.541666666667
aco,59.64911818,0.544444444444
aco,59.83380186,0.547222222222
aco,59.85884802,0.55
aco,60.06884768,0.552777777778
aco,60.19634184,0.555555555556
aco,60.31901634,0.558333333333
aco,60.35901884,0.561111111111
aco,60.66792332,0.563888888889
aco,62.09498722,0.566666666667
aco,62.2162375,0.569444444444
aco,62.22085986,0.572222222222
aco,62.2507272,0.575
aco,62.61120876,0.577777777778
aco,62.65296958,0.580555555556
aco,62.65919526,0.583333333333
aco,63.00203998,0.586111111111
aco,63.37432858,0.588888888889
aco,63.51708606,0.591666666667
aco,63.59087674,0.594444444444
aco,63.61192182,0.597222222222
aco,64.08824426,0.6
aco,64.70002872,0.602777777778
aco,64.70512684,0.605555555556
aco,64.74305436,0.608333333333
aco,65.14491526,0.611111111111
aco,65.26918152,0.613888888889
aco,65.52751082,0.616666666667
aco,66.3774055,0.619444444444
aco,66.64542506,0.622222222222
aco,67.1303752,0.625
aco,67.4328651,0.627777777778
aco,67.68241674,0.630555555556
aco,67.96342548,0.633333333333
aco,68.40645188,0.636111111111
aco,68.53272786,0.638888888889
aco,68.64778238,0.641666666667
aco,68.68503286,0.644444444444
aco,68.78023538,0.647222222222
aco,70.82236776,0.65
aco,70.84273108,0.652777777778
aco,71.0210558,0.655555555556
aco,71.19561874,0.658333333333
aco,71.86141568,0.661111111111
