domain,map_id,model,weighted_coverage,task_count,repetitions,domain_label,model_label
synthetic,synthetic_test__map_008,traditional_ppo,0.297417800454,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_009,traditional_ppo,0.254376417234,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_010,traditional_ppo,0.241561791383,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_011,traditional_ppo,0.2783361678,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_012,traditional_ppo,0.291768707483,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_013,traditional_ppo,0.260941043084,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_014,traditional_ppo,0.233526077098,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_015,traditional_ppo,0.251315192744,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_016,traditional_ppo,0.285362811791,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_017,traditional_ppo,0.279109977324,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_018,traditional_ppo,0.246272675737,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_019,traditional_ppo,0.257675736961,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_020,traditional_ppo,0.304041950113,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_021,traditional_ppo,0.282936507937,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_022,traditional_ppo,0.272848639456,9,45,未见合成地图,传统PPO
synthetic,synthetic_test__map_023,traditional_ppo,0.264821428571,9,45,未见合成地图,传统PPO
