environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
,948.0,0.4938480253212396,full,0.4868988567649279,0.4943015400604685,summary,,
,1000.0,0.4922878873771729,full,0.4900037792894934,0.4950479497354498,summary,,
,1096.0,0.4953231292517007,full,0.4893979119425546,0.4990634448223733,summary,,
,1256.0,0.4951755007558581,full,0.4942731953892667,0.4973013510959939,summary,,
,1416.0,0.4971206538170825,full,0.4970001889644745,0.4971867913832198,summary,,
,1500.0,0.4929043839758123,full,0.4924118953136809,0.493791335978836,summary,,
,1564.0,0.4919867252456538,full,0.4889160525321238,0.4939035336356763,summary,,
,1724.0,0.4924721277399848,full,0.4886255196523054,0.4968348450491306,summary,,
,1884.0,0.4935681216931216,full,0.4910017479213907,0.4957459372637942,summary,,
,2000.0,0.4956857048374904,full,0.4952227418745275,0.4985780423280422,summary,,
,2032.0,0.496580924036281,full,0.4949841742252458,0.4996232520786091,summary,,
,2192.0,0.4997933201058199,full,0.489888038548753,0.500090939153439,summary,,
,2352.0,0.4954542233560089,full,0.4885074168556312,0.4989134542705969,summary,,
,2500.0,0.4955050075585788,full,0.4944444444444446,0.4968348450491308,summary,,
,2660.0,0.4971785241874529,full,0.4961108749055178,0.4981079931972789,summary,,
,2820.0,0.4986748866213152,full,0.498505999622071,0.5012861394557822,summary,,
,2980.0,0.4951837679516249,full,0.4943972033257747,0.4985933956916099,summary,,
,3000.0,0.497039162887377,full,0.4941728080120937,0.5005113851095994,summary,,
66.0,16.0,,a2c_pointer,,,seed,0.2824534674981102,42.0
865.0,160.0,,a2c_pointer,,,seed,0.4157159391534393,42.0
1438.0,250.0,,a2c_pointer,,,seed,0.4338175547996977,42.0
1828.0,314.0,,a2c_pointer,,,seed,0.4379109977324264,42.0
2889.0,474.0,,a2c_pointer,,,seed,0.4450054327286469,42.0
3065.0,500.0,,a2c_pointer,,,seed,0.4478835978835978,42.0
3947.0,628.0,,a2c_pointer,,,seed,0.4521837207105064,42.0
5093.0,788.0,,a2c_pointer,,,seed,0.4671166383219954,42.0
6386.0,948.0,,a2c_pointer,,,seed,0.4806642101284958,42.0
6804.0,1000.0,,a2c_pointer,,,seed,0.4758231764928193,42.0
7532.0,1096.0,,a2c_pointer,,,seed,0.4822030895691611,42.0
8821.0,1256.0,,a2c_pointer,,,seed,0.4858335695389267,42.0
10189.0,1416.0,,a2c_pointer,,,seed,0.4955628779289494,42.0
10935.0,1500.0,,a2c_pointer,,,seed,0.4998252078609221,42.0
11472.0,1564.0,,a2c_pointer,,,seed,0.4971005763416477,42.0
12976.0,1724.0,,a2c_pointer,,,seed,0.4963990457294027,42.0
14504.0,1884.0,,a2c_pointer,,,seed,0.4949983465608464,42.0
15586.0,2000.0,,a2c_pointer,,,seed,0.4991803665910807,42.0
15894.0,2032.0,,a2c_pointer,,,seed,0.4999279572940285,42.0
17451.0,2192.0,,a2c_pointer,,,seed,0.5012011054421766,42.0
18995.0,2352.0,,a2c_pointer,,,seed,0.5002137660619803,42.0
20345.0,2500.0,,a2c_pointer,,,seed,0.4971702569916855,42.0
21715.0,2660.0,,a2c_pointer,,,seed,0.4973403250188963,42.0
23225.0,2820.0,,a2c_pointer,,,seed,0.5011467781557065,42.0
24696.0,2980.0,,a2c_pointer,,,seed,0.5014207766439908,42.0
24893.0,3000.0,,a2c_pointer,,,seed,0.4980536659108087,42.0
78.0,16.0,,a2c_pointer,,,seed,0.2839557350718065,43.0
900.0,160.0,,a2c_pointer,,,seed,0.4258125472411187,43.0
1443.0,250.0,,a2c_pointer,,,seed,0.4497496220710505,43.0
1859.0,314.0,,a2c_pointer,,,seed,0.4558484504913075,43.0
2941.0,474.0,,a2c_pointer,,,seed,0.4720545162509448,43.0
3116.0,500.0,,a2c_pointer,,,seed,0.4719458616780045,43.0
4012.0,628.0,,a2c_pointer,,,seed,0.4669548374905516,43.0
5216.0,788.0,,a2c_pointer,,,seed,0.474284297052154,43.0
6527.0,948.0,,a2c_pointer,,,seed,0.492594954648526,43.0
